Team1,Team2,Eff1,Eff2,Off1,Off2,Def1,Def2,SOS_Eff1,SOS_Eff2,SOS_Off1,SOS_Off2,SOS_Def1,SOS_Def2,Score1,Score2,Eff_Diff,Score_Diff,Winner
Texas,UNC Asheville,23.49,-12.35,119.3,101.2,95.8,113.5,10.36,-6.45,107.1,98.3,96.8,104.7,82,61,35.839999999999996,21,0
Sam Houston St.,Florida,0.82,22.14,101.5,116.5,100.6,94.4,-7.41,8.3,97.0,106.0,104.5,97.7,55,85,-21.32,-30,1
Xavier,Troy,19.88,6.15,113.8,106.9,94.0,100.8,4.8,-5.2,105.0,99.3,100.2,104.5,71,59,13.729999999999999,12,0
San Diego,Stanford,8.32,14.57,104.7,109.8,96.4,95.2,3.37,7.26,104.8,106.2,101.4,98.9,69,77,-6.25,-8,1
BYU,Connecticut,17.68,19.54,109.4,111.6,91.7,92.0,5.49,8.75,107.4,107.3,101.9,98.6,53,58,-1.8599999999999994,-5,1
Maryland,UNC Wilmington,22.0,14.62,110.9,109.5,88.9,94.9,8.23,-2.47,106.6,99.3,98.4,101.7,75,73,7.380000000000001,2,0
Colorado,Michigan St.,15.27,20.26,109.1,110.1,93.8,89.9,9.02,10.11,106.9,107.3,97.9,97.2,64,79,-4.990000000000002,-15,1
Purdue,LSU,17.42,18.15,107.0,111.0,89.6,92.8,9.53,6.27,107.6,104.8,98.0,98.6,80,56,-0.7299999999999969,24,0
Oklahoma,South Carolina St.,23.01,-8.59,112.1,96.4,89.1,105.0,9.01,-12.27,106.7,95.2,97.7,107.5,71,54,31.6,17,0
East Tennessee St.,Wake Forest,1.75,19.87,101.3,114.5,99.6,94.6,-1.8,7.83,102.1,105.9,103.9,98.0,73,76,-18.12,-3,1
Manhattan,Syracuse,10.04,23.28,105.5,114.4,95.4,91.1,-1.71,10.32,101.7,106.6,103.4,96.3,65,76,-13.240000000000002,-11,1
Louisville,Austin Peay,22.75,2.65,115.8,100.7,93.0,98.0,6.82,-0.97,105.3,104.2,98.4,105.2,86,64,20.1,22,0
Mississippi St.,Butler,21.53,16.09,107.4,115.4,85.8,99.3,8.85,4.1,106.9,104.5,98.0,100.4,46,47,5.440000000000001,-1,1
Oklahoma St.,Penn,17.67,13.35,105.9,110.3,88.2,96.9,9.08,-1.53,106.3,100.4,97.2,102.0,77,63,4.320000000000002,14,0
Saint Joseph's,Auburn,20.75,13.63,109.0,107.7,88.3,94.1,4.61,8.22,105.0,106.0,100.4,97.8,63,65,7.119999999999999,-2,1
California,North Carolina St.,13.59,13.18,109.9,111.2,96.3,98.1,7.06,8.48,106.7,106.9,99.6,98.4,76,74,0.41000000000000014,2,0
Kentucky,Utah,29.18,14.04,116.5,106.6,87.4,92.6,11.2,5.23,108.6,106.8,97.4,101.6,74,54,15.14,20,0
Pittsburgh,Indiana,28.61,14.48,114.8,113.4,86.2,98.9,7.07,10.49,105.5,107.3,98.4,96.8,74,52,14.129999999999999,22,0
Missouri,Marquette,17.32,21.3,111.5,120.5,94.2,99.2,11.14,7.94,107.1,106.0,96.0,98.0,92,101,-3.9800000000000004,-9,1
Wisconsin,Tulsa,22.07,13.04,114.4,107.9,92.4,94.9,6.46,1.05,106.1,102.7,99.6,101.7,61,60,9.030000000000001,1,0
Arizona,Gonzaga,26.8,15.58,115.6,113.2,88.8,97.7,8.69,3.93,107.2,103.9,98.5,100.0,96,95,11.22,1,0
Kansas,Arizona St.,28.62,16.49,115.0,113.9,86.4,97.4,11.84,8.74,108.7,106.4,96.8,97.7,108,76,12.130000000000003,32,0
Central Michigan,Duke,10.01,23.75,109.5,115.0,99.4,91.3,2.06,8.85,104.3,107.1,102.3,98.3,60,86,-13.74,-26,1
Illinois,Notre Dame,24.47,20.31,113.2,116.5,88.7,96.2,7.29,11.0,105.8,107.3,98.5,96.3,60,68,4.16,-8,1
Purdue,Texas,17.42,23.49,107.0,119.3,89.6,95.8,9.53,10.36,107.6,107.1,98.0,96.8,67,77,-6.069999999999997,-10,1
Michigan St.,Florida,20.26,22.14,110.1,116.5,89.9,94.4,10.11,8.3,107.3,106.0,97.2,97.7,68,46,-1.879999999999999,22,0
Maryland,Xavier,22.0,19.88,110.9,113.8,88.9,94.0,8.23,4.8,106.6,105.0,98.4,100.2,77,64,2.120000000000001,13,0
Stanford,Connecticut,14.57,19.54,109.8,111.6,95.2,92.0,7.26,8.75,106.2,107.3,98.9,98.6,74,85,-4.969999999999999,-11,1
Oklahoma,California,23.01,13.59,112.1,109.9,89.1,96.3,9.01,7.06,106.7,106.7,97.7,99.6,74,65,9.420000000000002,9,0
Wake Forest,Auburn,19.87,13.63,114.5,107.7,94.6,94.1,7.83,8.22,105.9,106.0,98.0,97.8,62,68,6.24,-6,1
Oklahoma St.,Syracuse,17.67,23.28,105.9,114.4,88.2,91.1,9.08,10.32,106.3,106.6,97.2,96.3,56,68,-5.609999999999999,-12,1
Butler,Louisville,16.09,22.75,115.4,115.8,99.3,93.0,4.1,6.82,104.5,105.3,100.4,98.4,79,71,-6.66,8,0
Kentucky,Wisconsin,29.18,22.07,116.5,114.4,87.4,92.4,11.2,6.46,108.6,106.1,97.4,99.6,63,57,7.109999999999999,6,0
Marquette,Pittsburgh,21.3,28.61,120.5,114.8,99.2,86.2,7.94,7.07,106.0,105.5,98.0,98.4,77,74,-7.309999999999999,3,0
Arizona,Notre Dame,26.8,20.31,115.6,116.5,88.8,96.2,8.69,11.0,107.2,107.3,98.5,96.3,88,71,6.490000000000002,17,0
Kansas,Duke,28.62,23.75,115.0,115.0,86.4,91.3,11.84,8.85,108.7,107.1,96.8,98.3,69,65,4.870000000000001,4,0
Texas,Connecticut,23.49,19.54,119.3,111.6,95.8,92.0,10.36,8.75,107.1,107.3,96.8,98.6,82,78,3.9499999999999993,4,0
Michigan St.,Maryland,20.26,22.0,110.1,110.9,89.9,88.9,10.11,8.23,107.3,106.6,97.2,98.4,60,58,-1.7399999999999984,2,0
Butler,Oklahoma,16.09,23.01,115.4,112.1,99.3,89.1,4.1,9.01,104.5,106.7,100.4,97.7,54,65,-6.920000000000002,-11,1
Syracuse,Auburn,23.28,13.63,114.4,107.7,91.1,94.1,10.32,8.22,106.6,106.0,96.3,97.8,79,78,9.65,1,0
Kentucky,Marquette,29.18,21.3,116.5,120.5,87.4,99.2,11.2,7.94,108.6,106.0,97.4,98.0,69,83,7.879999999999999,-14,1
Arizona,Kansas,26.8,28.62,115.6,115.0,88.8,86.4,8.69,11.84,107.2,108.7,98.5,96.8,75,78,-1.8200000000000003,-3,1
Texas,Michigan St.,23.49,20.26,119.3,110.1,95.8,89.9,10.36,10.11,107.1,107.3,96.8,97.2,85,76,3.229999999999997,9,0
Oklahoma,Syracuse,23.01,23.28,112.1,114.4,89.1,91.1,9.01,10.32,106.7,106.6,97.7,96.3,47,63,-0.2699999999999996,-16,1
Marquette,Kansas,21.3,28.62,120.5,115.0,99.2,86.4,7.94,11.84,106.0,108.7,98.0,96.8,61,94,-7.32,-33,1
Syracuse,Texas,23.28,23.49,114.4,119.3,91.1,95.8,10.32,10.36,106.6,107.1,96.3,96.8,95,84,-0.2099999999999973,11,0
Kansas,Syracuse,28.62,23.28,115.0,114.4,86.4,91.1,11.84,10.32,108.7,106.6,96.8,96.3,78,81,5.34,-3,1
Kentucky,Florida A&M,23.35,-9.35,113.5,98.9,90.1,108.3,8.97,-9.84,108.3,96.9,99.3,106.7,96,76,32.7,20,0
Valparaiso,Gonzaga,0.53,25.34,100.1,120.8,99.6,95.5,-1.31,3.28,104.7,105.5,106.0,102.2,49,76,-24.81,-27,1
Northern Iowa,Georgia Tech,8.78,24.69,107.4,113.5,98.6,88.8,2.45,13.74,103.9,110.8,101.4,97.1,60,65,-15.910000000000002,-5,1
Kansas,Illinois Chicago,20.89,10.39,112.3,107.5,91.4,97.1,10.39,-0.52,109.2,103.6,98.8,104.1,78,53,10.5,25,0
Providence,Pacific,18.32,8.93,112.3,108.6,93.9,99.7,8.8,0.28,107.9,103.4,99.1,103.1,58,66,9.39,-8,1
Utah,Boston College,14.13,15.42,110.1,110.5,96.0,95.1,4.45,7.21,106.8,106.2,102.3,99.0,51,58,-1.2899999999999991,-7,1
Nevada,Michigan St.,20.27,15.66,112.3,117.2,92.0,101.5,7.09,8.92,107.6,107.1,100.5,98.2,72,66,4.609999999999999,6,0
Washington,UAB,10.78,13.63,113.1,108.1,102.3,94.5,6.16,5.34,106.6,105.8,100.4,100.4,100,102,-2.8500000000000014,-2,1
Saint Joseph's,Liberty,27.66,-2.5,118.9,98.3,91.2,100.8,6.99,-5.73,107.1,100.5,100.1,106.2,82,63,30.16,19,0
Eastern Washington,Oklahoma St.,3.09,27.37,105.4,118.5,102.3,91.1,-0.25,7.56,103.3,107.7,103.5,100.1,56,75,-24.28,-19,1
UCF,Pittsburgh,5.91,25.91,103.3,114.1,97.4,88.2,-5.87,5.97,101.4,106.4,107.2,100.5,44,53,-20.0,-9,1
VCU,Wake Forest,9.09,21.69,105.6,121.6,96.5,99.9,-0.29,13.52,102.3,109.6,102.6,96.1,78,79,-12.600000000000001,-1,1
Florida,Manhattan,18.26,13.38,116.9,109.1,98.6,95.7,9.6,-1.77,107.9,103.2,98.3,105.0,60,75,4.880000000000001,-15,1
Richmond,Wisconsin,15.07,25.74,105.9,116.0,90.9,90.3,6.95,8.34,107.2,108.0,100.2,99.7,64,76,-10.669999999999998,-12,1
South Carolina,Memphis,15.02,16.17,109.7,111.8,94.7,95.6,6.15,5.55,105.8,105.7,99.6,100.2,43,59,-1.1500000000000021,-16,1
Charlotte,Texas Tech,14.25,17.11,112.7,111.4,98.5,94.3,5.72,8.29,105.0,108.4,99.3,100.1,73,76,-2.8599999999999994,-3,1
Duke,Alabama St.,32.33,-10.72,120.8,93.8,88.5,104.5,12.59,-12.06,109.5,94.6,96.9,106.7,96,61,43.05,35,0
Monmouth,Mississippi St.,-3.99,21.74,98.1,114.7,102.1,92.9,-6.71,6.38,100.6,106.3,107.3,99.9,52,85,-25.729999999999997,-33,1
Princeton,Texas,4.86,21.54,106.3,115.6,101.4,94.1,-4.32,9.27,100.2,109.1,104.6,99.8,49,66,-16.68,-17,1
Cincinnati,East Tennessee St.,21.56,8.6,116.1,104.4,94.5,95.8,5.62,-2.39,105.6,102.2,100.0,104.6,80,77,12.959999999999999,3,0
Murray St.,Illinois,10.62,22.11,110.5,117.8,99.9,95.7,-3.8,8.13,103.1,107.7,106.9,99.5,53,72,-11.49,-19,1
North Carolina,Air Force,23.23,15.42,117.4,111.4,94.1,96.0,13.85,0.58,110.2,103.3,96.4,102.8,63,52,7.8100000000000005,11,0
Louisville,Xavier,20.44,20.16,107.1,113.8,86.6,93.6,7.09,7.19,107.0,107.5,99.9,100.3,70,80,0.28000000000000114,-10,1
Arizona,Seton Hall,16.18,17.35,118.5,112.3,102.3,95.0,5.72,7.85,106.7,107.2,101.0,99.4,76,80,-1.1700000000000017,-4,1
UTSA,Stanford,-7.69,22.52,98.0,111.9,105.7,89.3,-7.71,3.76,99.1,105.9,106.8,102.2,45,71,-30.21,-26,1
Vermont,Connecticut,-1.37,28.3,101.0,117.8,102.4,89.5,-8.08,8.93,97.4,107.7,105.5,98.8,53,70,-29.67,-17,1
North Carolina St.,Louisiana Lafayette,23.98,10.23,119.1,109.2,95.1,99.0,12.81,0.84,109.5,103.8,96.7,103.0,61,52,13.75,9,0
Maryland,UTEP,19.81,14.69,110.9,112.5,91.1,97.8,14.09,4.31,112.1,104.2,98.0,99.9,86,83,5.119999999999999,3,0
BYU,Syracuse,15.64,16.34,113.0,113.1,97.4,96.7,7.13,7.88,108.1,107.4,101.0,99.6,75,80,-0.6999999999999993,-5,1
Vanderbilt,Western Michigan,18.64,16.29,113.6,114.3,95.0,98.0,7.87,-0.63,108.0,103.5,100.1,104.1,71,58,2.3500000000000014,13,0
DePaul,Dayton,11.36,9.75,113.0,108.1,101.6,98.4,5.83,3.26,106.4,105.6,100.6,102.3,76,69,1.6099999999999994,7,0
Alabama,Southern Illinois,16.5,14.33,114.7,109.1,98.2,94.8,11.2,2.54,109.1,105.1,97.9,102.5,65,64,2.17,1,0
UAB,Kentucky,13.63,23.35,108.1,113.5,94.5,90.1,5.34,8.97,105.8,108.3,100.4,99.3,76,75,-9.72,1,0
Nevada,Gonzaga,20.27,25.34,112.3,120.8,92.0,95.5,7.09,3.28,107.6,105.5,100.5,102.2,91,72,-5.07,19,0
Boston College,Georgia Tech,15.42,24.69,110.5,113.5,95.1,88.8,7.21,13.74,106.2,110.8,99.0,97.1,54,57,-9.270000000000001,-3,1
Pacific,Kansas,8.93,20.89,108.6,112.3,99.7,91.4,0.28,10.39,103.4,109.2,103.1,98.8,63,78,-11.96,-15,1
Texas Tech,Saint Joseph's,17.11,27.66,111.4,118.9,94.3,91.2,8.29,6.99,108.4,107.1,100.1,100.1,65,70,-10.55,-5,1
Memphis,Oklahoma St.,16.17,27.37,111.8,118.5,95.6,91.1,5.55,7.56,105.7,107.7,100.2,100.1,53,70,-11.2,-17,1
Pittsburgh,Wisconsin,25.91,25.74,114.1,116.0,88.2,90.3,5.97,8.34,106.4,108.0,100.5,99.7,59,55,0.1700000000000017,4,0
Wake Forest,Manhattan,21.69,13.38,121.6,109.1,99.9,95.7,13.52,-1.77,109.6,103.2,96.1,105.0,84,80,8.31,4,0
Seton Hall,Duke,17.35,32.33,112.3,120.8,95.0,88.5,7.85,12.59,107.2,109.5,99.4,96.9,62,90,-14.979999999999997,-28,1
Xavier,Mississippi St.,20.16,21.74,113.8,114.7,93.6,92.9,7.19,6.38,107.5,106.3,100.3,99.9,89,74,-1.5799999999999983,15,0
North Carolina,Texas,23.23,21.54,117.4,115.6,94.1,94.1,13.85,9.27,110.2,109.1,96.4,99.8,75,78,1.6900000000000013,-3,1
Illinois,Cincinnati,22.11,21.56,117.8,116.1,95.7,94.5,8.13,5.62,107.7,105.6,99.5,100.0,92,68,0.5500000000000007,24,0
Alabama,Stanford,16.5,22.52,114.7,111.9,98.2,89.3,11.2,3.76,109.1,105.9,97.9,102.2,70,67,-6.02,3,0
DePaul,Connecticut,11.36,28.3,113.0,117.8,101.6,89.5,5.83,8.93,106.4,107.7,100.6,98.8,55,72,-16.94,-17,1
Vanderbilt,North Carolina St.,18.64,23.98,113.6,119.1,95.0,95.1,7.87,12.81,108.0,109.5,100.1,96.7,75,73,-5.34,2,0
Maryland,Syracuse,19.81,16.34,110.9,113.1,91.1,96.7,14.09,7.88,112.1,107.4,98.0,99.6,70,72,3.469999999999999,-2,1
UAB,Kansas,13.63,20.89,108.1,112.3,94.5,91.4,5.34,10.39,105.8,109.2,100.4,98.8,74,100,-7.26,-26,1
Georgia Tech,Nevada,24.69,20.27,113.5,112.3,88.8,92.0,13.74,7.09,110.8,107.6,97.1,100.5,72,67,4.420000000000002,5,0
Saint Joseph's,Wake Forest,27.66,21.69,118.9,121.6,91.2,99.9,6.99,13.52,107.1,109.6,100.1,96.1,84,80,5.969999999999999,4,0
Oklahoma St.,Pittsburgh,27.37,25.91,118.5,114.1,91.1,88.2,7.56,5.97,107.7,106.4,100.1,100.5,63,51,1.4600000000000009,12,0
Duke,Illinois,32.33,22.11,120.8,117.8,88.5,95.7,12.59,8.13,109.5,107.7,96.9,99.5,72,62,10.219999999999999,10,0
Xavier,Texas,20.16,21.54,113.8,115.6,93.6,94.1,7.19,9.27,107.5,109.1,100.3,99.8,79,71,-1.379999999999999,8,0
