Team1,Team2,Eff1,Eff2,Off1,Off2,Def1,Def2,SOS_Eff1,SOS_Eff2,SOS_Off1,SOS_Off2,SOS_Def1,SOS_Def2,Score1,Score2,Eff_Diff,Score_Diff,Winner
Butler,Florida,21.45,30.81,118.0,122.8,96.5,92.0,4.77,8.73,106.6,109.1,101.8,100.3,57,65,-9.36,-8,1
UNLV,Oregon,16.83,20.76,112.6,118.3,95.8,97.6,5.61,7.19,109.1,108.0,103.5,100.8,72,76,-3.9300000000000033,-4,1
Kansas,Southern Illinois,27.81,21.03,115.3,109.8,87.5,88.8,6.86,10.19,108.1,110.2,101.2,100.0,61,58,6.779999999999998,3,0
Pittsburgh,UCLA,22.9,27.15,118.1,115.4,95.2,88.3,9.54,11.08,109.6,111.0,100.1,99.9,55,64,-4.25,-9,1
North Carolina,USC,31.37,16.86,121.0,111.0,89.6,94.2,10.95,8.26,111.0,108.3,100.1,100.0,74,64,14.510000000000002,10,0
Georgetown,Vanderbilt,28.48,16.23,122.0,115.7,93.5,99.4,10.41,9.34,109.7,109.5,99.3,100.2,66,65,12.25,1,0
Tennessee,Ohio St.,18.29,29.33,115.9,121.0,97.6,91.7,10.57,9.82,110.3,109.0,99.8,99.2,84,85,-11.04,-1,1
Memphis,Texas A&M,24.81,26.97,115.4,119.3,90.6,92.3,2.93,5.38,105.3,106.7,102.4,101.4,65,64,-2.16,1,0
Oregon,Florida,20.76,30.81,118.3,122.8,97.6,92.0,7.19,8.73,108.0,109.1,100.8,100.3,77,85,-10.049999999999997,-8,1
UCLA,Kansas,27.15,27.81,115.4,115.3,88.3,87.5,11.08,6.86,111.0,108.1,99.9,101.2,68,55,-0.6600000000000001,13,0
North Carolina,Georgetown,31.37,28.48,121.0,122.0,89.6,93.5,10.95,10.41,111.0,109.7,100.1,99.3,84,96,2.8900000000000006,-12,1
Ohio St.,Memphis,29.33,24.81,121.0,115.4,91.7,90.6,9.82,2.93,109.0,105.3,99.2,102.4,92,76,4.52,16,0
UCLA,Florida,27.15,30.81,115.4,122.8,88.3,92.0,11.08,8.73,111.0,109.1,99.9,100.3,66,76,-3.66,-10,1
Georgetown,Ohio St.,28.48,29.33,122.0,121.0,93.5,91.7,10.41,9.82,109.7,109.0,99.3,99.2,60,67,-0.8499999999999979,-7,1
Ohio St.,Florida,29.33,30.81,121.0,122.8,91.7,92.0,9.82,8.73,109.0,109.1,99.2,100.3,75,84,-1.4800000000000004,-9,1
North Carolina,Mount St. Mary's,30.22,-1.32,122.1,99.3,91.9,100.6,10.18,-5.35,108.0,101.6,97.8,106.9,113,74,31.54,39,0
Tennessee,American,22.17,1.67,116.2,107.9,94.0,106.3,9.58,-4.23,109.4,99.9,99.8,104.1,72,57,20.5,15,0
Boise St.,Louisville,3.89,25.41,108.7,113.1,104.8,87.7,-2.64,9.34,103.3,108.4,105.9,99.0,61,79,-21.52,-18,1
Washington St.,Winthrop,24.32,6.38,115.1,99.5,90.8,93.1,8.99,-1.01,109.0,105.1,100.0,106.1,71,40,17.94,31,0
Notre Dame,George Mason,19.07,9.68,114.6,110.7,95.6,101.0,6.88,-0.57,107.5,102.6,100.6,103.2,68,50,9.39,18,0
Saint Joseph's,Oklahoma,14.32,14.47,115.1,109.5,100.8,95.1,5.81,9.45,106.9,108.3,101.1,98.9,64,72,-0.15000000000000036,-8,1
South Alabama,Butler,11.8,19.97,112.6,116.2,100.8,96.2,-2.07,2.79,103.1,104.3,105.2,101.5,61,81,-8.169999999999998,-20,1
Indiana,Arkansas,18.43,15.19,114.6,111.4,96.1,96.2,6.28,7.19,106.6,108.4,100.3,101.2,72,86,3.24,-14,1
Portland St.,Kansas,5.4,35.21,108.6,120.9,103.2,85.7,-3.5,9.57,102.7,109.2,106.2,99.6,61,85,-29.810000000000002,-24,1
UMBC,Georgetown,3.86,25.56,113.2,115.2,109.3,89.7,-4.31,8.48,100.7,108.2,105.0,99.8,47,66,-21.7,-19,1
Cal St. Fullerton,Wisconsin,8.47,26.68,112.3,113.5,103.9,86.8,-3.95,7.35,101.5,107.1,105.5,99.8,56,71,-18.21,-15,1
Vanderbilt,Siena,12.65,7.99,112.3,108.6,99.6,100.7,5.2,-1.41,107.4,104.1,102.2,105.5,62,83,4.66,-21,1
Clemson,Villanova,22.03,14.21,114.0,109.2,91.9,95.0,9.53,9.14,109.3,108.9,99.8,99.8,69,75,7.82,-6,1
Kansas St.,USC,18.9,18.67,114.2,110.5,95.3,91.9,9.09,11.18,108.0,109.7,98.9,98.5,80,67,0.22999999999999687,13,0
Davidson,Gonzaga,23.61,19.05,117.0,114.5,93.4,95.5,3.36,2.57,105.2,104.0,101.8,101.5,82,76,4.559999999999999,6,0
Kent St.,UNLV,13.04,13.71,107.8,110.2,94.8,96.5,1.03,3.1,103.5,104.3,102.5,101.2,58,71,-0.6700000000000017,-13,1
UT Arlington,Memphis,-2.31,31.51,101.3,118.0,103.6,86.5,-4.81,5.83,99.5,107.0,104.3,101.1,63,87,-33.82,-24,1
Austin Peay,Texas,-0.3,25.09,104.6,120.6,104.9,95.5,-6.35,10.37,102.5,108.4,108.8,98.0,54,74,-25.39,-20,1
Stanford,Cornell,22.75,4.41,113.6,110.1,90.9,105.7,9.32,-6.93,109.1,99.1,99.7,106.0,77,53,18.34,24,0
Oral Roberts,Pittsburgh,10.27,19.91,104.7,116.5,94.5,96.6,-0.01,9.52,105.4,107.8,105.4,98.3,63,82,-9.64,-19,1
Michigan St.,Temple,21.15,12.37,115.8,112.8,94.7,100.4,8.71,6.08,108.2,107.4,99.5,101.3,72,61,8.78,11,0
Kentucky,Marquette,10.01,22.16,107.8,115.3,97.8,93.1,6.74,8.62,107.4,107.9,100.7,99.3,66,74,-12.15,-8,1
Miami FL,Saint Mary's,15.38,14.66,112.5,109.2,97.1,94.6,7.78,0.11,106.7,103.4,98.9,103.3,78,64,0.7200000000000006,14,0
Mississippi St.,Oregon,16.77,15.66,108.2,118.8,91.5,103.1,6.22,10.56,108.1,108.9,101.8,98.4,76,69,1.1099999999999994,7,0
Mississippi Valley St.,UCLA,-15.21,29.94,91.9,118.0,107.1,88.1,-11.0,10.03,96.7,109.3,107.7,99.3,29,70,-45.150000000000006,-41,1
Belmont,Duke,3.53,26.4,109.7,116.3,106.2,89.9,-5.21,10.06,100.9,109.1,106.1,99.0,70,71,-22.869999999999997,-1,1
Xavier,Georgia,22.05,8.08,117.3,104.3,95.2,96.2,6.94,7.55,108.1,108.5,101.2,101.0,73,61,13.97,12,0
San Diego,Connecticut,4.64,18.9,101.6,115.2,97.0,96.3,1.43,7.67,104.3,107.7,102.9,100.0,70,69,-14.259999999999998,1,0
Drake,Western Kentucky,21.46,14.6,120.0,111.9,98.5,97.3,4.89,-0.85,105.5,103.3,100.6,104.2,99,101,6.860000000000001,-2,1
Purdue,Baylor,18.3,14.82,110.5,115.7,92.2,100.9,6.41,7.58,106.2,106.9,99.7,99.3,90,79,3.4800000000000004,11,0
Arizona,West Virginia,19.14,21.29,116.4,114.6,97.3,93.3,12.72,9.0,110.3,108.5,97.6,99.5,65,75,-2.1499999999999986,-10,1
BYU,Texas A&M,15.76,19.93,107.4,112.3,91.7,92.3,1.47,8.28,104.2,107.4,102.7,99.1,62,67,-4.17,-5,1
North Carolina,Arkansas,30.22,15.19,122.1,111.4,91.9,96.2,10.18,7.19,108.0,108.4,97.8,101.2,108,77,15.03,31,0
Tennessee,Butler,22.17,19.97,116.2,116.2,94.0,96.2,9.58,2.79,109.4,104.3,99.8,101.5,76,71,2.200000000000003,5,0
Oklahoma,Louisville,14.47,25.41,109.5,113.1,95.1,87.7,9.45,9.34,108.3,108.4,98.9,99.0,48,78,-10.94,-30,1
Washington St.,Notre Dame,24.32,19.07,115.1,114.6,90.8,95.6,8.99,6.88,109.0,107.5,100.0,100.6,61,41,5.25,20,0
Kansas,UNLV,35.21,13.71,120.9,110.2,85.7,96.5,9.57,3.1,109.2,104.3,99.6,101.2,75,56,21.5,19,0
Georgetown,Davidson,25.56,23.61,115.2,117.0,89.7,93.4,8.48,3.36,108.2,105.2,99.8,101.8,70,74,1.9499999999999993,-4,1
Wisconsin,Kansas St.,26.68,18.9,113.5,114.2,86.8,95.3,7.35,9.09,107.1,108.0,99.8,98.9,72,55,7.780000000000001,17,0
Siena,Villanova,7.99,14.21,108.6,109.2,100.7,95.0,-1.41,9.14,104.1,108.9,105.5,99.8,72,84,-6.220000000000001,-12,1
Memphis,Mississippi St.,31.51,16.77,118.0,108.2,86.5,91.5,5.83,6.22,107.0,108.1,101.1,101.8,77,74,14.740000000000002,3,0
Miami FL,Texas,15.38,25.09,112.5,120.6,97.1,95.5,7.78,10.37,106.7,108.4,98.9,98.0,72,75,-9.709999999999999,-3,1
Marquette,Stanford,22.16,22.75,115.3,113.6,93.1,90.9,8.62,9.32,107.9,109.1,99.3,99.7,81,82,-0.5899999999999999,-1,1
Michigan St.,Pittsburgh,21.15,19.91,115.8,116.5,94.7,96.6,8.71,9.52,108.2,107.8,99.5,98.3,65,54,1.2399999999999984,11,0
UCLA,Texas A&M,29.94,19.93,118.0,112.3,88.1,92.3,10.03,8.28,109.3,107.4,99.3,99.1,51,49,10.010000000000002,2,0
West Virginia,Duke,21.29,26.4,114.6,116.3,93.3,89.9,9.0,10.06,108.5,109.1,99.5,99.0,73,67,-5.109999999999999,6,0
Xavier,Purdue,22.05,18.3,117.3,110.5,95.2,92.2,6.94,6.41,108.1,106.2,101.2,99.7,85,78,3.75,7,0
San Diego,Western Kentucky,4.64,14.6,101.6,111.9,97.0,97.3,1.43,-0.85,104.3,103.3,102.9,104.2,63,72,-9.96,-9,1
North Carolina,Washington St.,30.22,24.32,122.1,115.1,91.9,90.8,10.18,8.99,108.0,109.0,97.8,100.0,68,47,5.899999999999999,21,0
Louisville,Tennessee,25.41,22.17,113.1,116.2,87.7,94.0,9.34,9.58,108.4,109.4,99.0,99.8,79,60,3.2399999999999984,19,0
Villanova,Kansas,14.21,35.21,109.2,120.9,95.0,85.7,9.14,9.57,108.9,109.2,99.8,99.6,57,72,-21.0,-15,1
Davidson,Wisconsin,23.61,26.68,117.0,113.5,93.4,86.8,3.36,7.35,105.2,107.1,101.8,99.8,73,56,-3.0700000000000003,17,0
Memphis,Michigan St.,31.51,21.15,118.0,115.8,86.5,94.7,5.83,8.71,107.0,108.2,101.1,99.5,92,74,10.360000000000003,18,0
Stanford,Texas,22.75,25.09,113.6,120.6,90.9,95.5,9.32,10.37,109.1,108.4,99.7,98.0,62,82,-2.34,-20,1
UCLA,Western Kentucky,29.94,14.6,118.0,111.9,88.1,97.3,10.03,-0.85,109.3,103.3,99.3,104.2,88,78,15.340000000000002,10,0
Xavier,West Virginia,22.05,21.29,117.3,114.6,95.2,93.3,6.94,9.0,108.1,108.5,101.2,99.5,79,75,0.7600000000000016,4,0
Louisville,North Carolina,25.41,30.22,113.1,122.1,87.7,91.9,9.34,10.18,108.4,108.0,99.0,97.8,73,83,-4.809999999999999,-10,1
Kansas,Davidson,35.21,23.61,120.9,117.0,85.7,93.4,9.57,3.36,109.2,105.2,99.6,101.8,59,57,11.600000000000001,2,0
Texas,Memphis,25.09,31.51,120.6,118.0,95.5,86.5,10.37,5.83,108.4,107.0,98.0,101.1,67,85,-6.420000000000002,-18,1
Xavier,UCLA,22.05,29.94,117.3,118.0,95.2,88.1,6.94,10.03,108.1,109.3,101.2,99.3,57,76,-7.890000000000001,-19,1
North Carolina,Kansas,30.22,35.21,122.1,120.9,91.9,85.7,10.18,9.57,108.0,109.2,97.8,99.6,66,84,-4.990000000000002,-18,1
Memphis,UCLA,31.51,29.94,118.0,118.0,86.5,88.1,5.83,10.03,107.0,109.3,101.1,99.3,78,63,1.5700000000000003,15,0
Kansas,Memphis,35.21,31.51,120.9,118.0,85.7,86.5,9.57,5.83,109.2,107.0,99.6,101.1,75,68,3.6999999999999993,7,0
Morehead St.,Louisville,0.76,26.06,102.0,111.2,101.3,85.2,-1.9,9.57,103.6,108.6,105.5,99.0,54,74,-25.299999999999997,-20,1
Michigan St.,Robert Morris,24.37,1.49,114.3,102.0,89.9,100.6,12.33,-7.27,109.4,99.3,97.1,106.5,77,62,22.880000000000003,15,0
North Dakota St.,Kansas,12.29,23.83,114.3,114.5,102.0,90.7,-1.6,8.83,103.1,107.9,104.7,99.1,74,84,-11.54,-10,1
Cleveland St.,Wake Forest,11.96,18.88,105.3,111.6,93.3,92.7,3.76,7.66,104.6,107.5,100.9,99.9,84,69,-6.919999999999998,15,0
Arizona,Utah,15.96,17.8,117.7,110.8,101.8,92.9,11.33,7.29,109.0,107.9,97.7,100.6,84,71,-1.8399999999999999,13,0
West Virginia,Dayton,24.21,10.23,115.1,103.3,90.9,93.0,10.95,2.34,108.9,104.9,98.0,102.6,60,68,13.98,-8,1
Boston College,USC,11.2,18.26,113.2,110.0,102.0,91.8,6.4,10.81,106.6,110.5,100.2,99.7,55,72,-7.060000000000002,-17,1
Ohio St.,Siena,16.34,11.93,113.3,110.3,96.9,98.4,9.46,0.91,107.7,102.4,98.2,101.5,72,74,4.41,-2,1
Connecticut,Chattanooga,29.25,-4.04,116.0,104.3,86.8,108.4,10.37,-3.37,109.0,102.1,98.6,105.5,103,47,33.29,56,0
Cal St. Northridge,Memphis,5.18,28.67,102.2,112.8,97.0,84.2,0.26,4.73,104.0,105.5,103.7,100.8,70,81,-23.490000000000002,-11,1
Missouri,Cornell,24.81,5.23,116.6,108.5,91.8,103.3,7.96,-5.58,106.4,99.0,98.4,104.6,78,59,19.58,19,0
Mississippi St.,Washington,11.55,22.09,107.8,113.1,96.2,91.0,4.96,10.18,105.3,109.4,100.3,99.2,58,71,-10.54,-13,1
Northern Iowa,Purdue,9.7,21.84,110.6,110.5,100.9,88.7,3.1,8.94,104.7,107.2,101.6,98.3,56,61,-12.14,-5,1
Marquette,Utah St.,21.02,15.12,117.1,116.7,96.1,101.6,8.22,-0.47,107.8,103.2,99.5,103.6,58,57,5.9,1,0
California,Maryland,17.37,13.55,116.8,110.0,99.4,96.4,9.17,9.61,108.0,108.3,98.8,98.7,71,84,3.8200000000000003,-13,1
Texas A&M,BYU,15.01,20.1,113.1,114.0,98.1,93.9,7.85,4.57,107.1,105.4,99.3,100.9,79,66,-5.090000000000002,13,0
Pittsburgh,East Tennessee St.,28.96,5.67,121.2,106.4,92.3,100.7,10.11,-4.73,108.1,100.2,98.0,105.0,72,62,23.29,10,0
Duke,Binghamton,24.31,-0.98,117.5,102.3,93.2,103.3,10.23,-5.64,108.5,99.6,98.3,105.3,85,62,25.29,23,0
American,Villanova,4.7,23.89,105.3,114.4,100.6,90.5,-6.34,9.99,97.6,108.9,104.0,98.9,67,80,-19.19,-13,1
Portland St.,Xavier,4.04,20.24,109.2,111.0,105.1,90.8,-3.32,5.81,101.5,105.8,104.8,100.0,59,77,-16.2,-18,1
Florida St.,Wisconsin,15.76,17.62,105.9,113.3,90.1,95.7,10.01,9.51,109.2,107.3,99.2,97.8,59,61,-1.8600000000000012,-2,1
UCLA,VCU,23.93,13.62,119.5,110.1,95.6,96.4,8.42,0.23,107.6,102.9,99.1,102.7,65,64,10.31,1,0
Minnesota,Texas,15.43,19.65,108.1,112.2,92.6,92.5,8.44,10.16,107.4,109.2,98.9,99.0,62,76,-4.219999999999999,-14,1
Tennessee,Oklahoma St.,16.48,18.33,115.1,116.4,98.7,98.1,9.4,10.46,107.9,108.8,98.5,98.4,75,77,-1.8499999999999979,-2,1
Radford,North Carolina,-0.86,31.14,101.2,123.2,102.1,92.1,-4.54,9.91,101.0,108.2,105.5,98.3,58,101,-32.0,-43,1
Oklahoma,Morgan St.,24.59,0.99,118.3,100.1,93.7,99.1,9.49,-7.43,108.3,98.2,98.9,105.7,82,54,23.6,28,0
Syracuse,Stephen F. Austin,22.21,6.52,117.0,97.0,94.8,90.4,11.46,-1.98,108.4,101.9,97.0,103.9,59,44,15.690000000000001,15,0
Gonzaga,Akron,24.51,6.9,117.5,102.9,93.0,96.0,4.63,-1.6,105.1,100.9,100.5,102.5,77,64,17.61,13,0
Illinois,Western Kentucky,18.72,8.1,106.8,111.1,88.1,103.0,7.96,-0.6,106.5,102.2,98.6,102.8,72,76,10.62,-4,1
Temple,Arizona St.,14.38,23.03,109.9,118.2,95.5,95.2,6.68,10.14,106.9,108.9,100.3,98.8,57,66,-8.65,-9,1
Clemson,Michigan,19.62,14.75,116.4,112.2,96.7,97.5,6.19,11.39,105.4,108.5,99.2,97.1,59,62,4.870000000000001,-3,1
LSU,Butler,14.86,15.78,111.5,110.3,96.6,94.5,3.5,2.51,104.6,103.0,101.1,100.5,75,71,-0.9199999999999999,4,0
Louisville,Siena,26.06,11.93,111.2,110.3,85.2,98.4,9.57,0.91,108.6,102.4,99.0,101.5,79,72,14.129999999999999,7,0
Michigan St.,USC,24.37,18.26,114.3,110.0,89.9,91.8,12.33,10.81,109.4,110.5,97.1,99.7,74,69,6.109999999999999,5,0
Dayton,Kansas,10.23,23.83,103.3,114.5,93.0,90.7,2.34,8.83,104.9,107.9,102.6,99.1,43,60,-13.599999999999998,-17,1
Cleveland St.,Arizona,11.96,15.96,105.3,117.7,93.3,101.8,3.76,11.33,104.6,109.0,100.9,97.7,57,71,-4.0,-14,1
Texas A&M,Connecticut,15.01,29.25,113.1,116.0,98.1,86.8,7.85,10.37,107.1,109.0,99.3,98.6,66,92,-14.24,-26,1
Memphis,Maryland,28.67,13.55,112.8,110.0,84.2,96.4,4.73,9.61,105.5,108.3,100.8,98.7,89,70,15.120000000000001,19,0
Marquette,Missouri,21.02,24.81,117.1,116.6,96.1,91.8,8.22,7.96,107.8,106.4,99.5,98.4,79,83,-3.789999999999999,-4,1
Purdue,Washington,21.84,22.09,110.5,113.1,88.7,91.0,8.94,10.18,107.2,109.4,98.3,99.2,76,74,-0.25,2,0
Oklahoma St.,Pittsburgh,18.33,28.96,116.4,121.2,98.1,92.3,10.46,10.11,108.8,108.1,98.4,98.0,76,84,-10.630000000000003,-8,1
Texas,Duke,19.65,24.31,112.2,117.5,92.5,93.2,10.16,10.23,109.2,108.5,99.0,98.3,69,74,-4.66,-5,1
UCLA,Villanova,23.93,23.89,119.5,114.4,95.6,90.5,8.42,9.99,107.6,108.9,99.1,98.9,69,89,0.03999999999999915,-20,1
Xavier,Wisconsin,20.24,17.62,111.0,113.3,90.8,95.7,5.81,9.51,105.8,107.3,100.0,97.8,60,49,2.6199999999999974,11,0
North Carolina,LSU,31.14,14.86,123.2,111.5,92.1,96.6,9.91,3.5,108.2,104.6,98.3,101.1,84,70,16.28,14,0
Michigan,Oklahoma,14.75,24.59,112.2,118.3,97.5,93.7,11.39,9.49,108.5,108.3,97.1,98.9,63,73,-9.84,-10,1
Arizona St.,Syracuse,23.03,22.21,118.2,117.0,95.2,94.8,10.14,11.46,108.9,108.4,98.8,97.0,67,78,0.8200000000000003,-11,1
Gonzaga,Western Kentucky,24.51,8.1,117.5,111.1,93.0,103.0,4.63,-0.6,105.1,102.2,100.5,102.8,83,81,16.410000000000004,2,0
Louisville,Arizona,26.06,15.96,111.2,117.7,85.2,101.8,9.57,11.33,108.6,109.0,99.0,97.7,103,64,10.099999999999998,39,0
Kansas,Michigan St.,23.83,24.37,114.5,114.3,90.7,89.9,8.83,12.33,107.9,109.4,99.1,97.1,62,67,-0.5400000000000027,-5,1
Purdue,Connecticut,21.84,29.25,110.5,116.0,88.7,86.8,8.94,10.37,107.2,109.0,98.3,98.6,60,72,-7.41,-12,1
Missouri,Memphis,24.81,28.67,116.6,112.8,91.8,84.2,7.96,4.73,106.4,105.5,98.4,100.8,102,91,-3.860000000000003,11,0
Xavier,Pittsburgh,20.24,28.96,111.0,121.2,90.8,92.3,5.81,10.11,105.8,108.1,100.0,98.0,55,60,-8.720000000000002,-5,1
Villanova,Duke,23.89,24.31,114.4,117.5,90.5,93.2,9.99,10.23,108.9,108.5,98.9,98.3,77,54,-0.41999999999999815,23,0
Gonzaga,North Carolina,24.51,31.14,117.5,123.2,93.0,92.1,4.63,9.91,105.1,108.2,100.5,98.3,77,98,-6.629999999999999,-21,1
Oklahoma,Syracuse,24.59,22.21,118.3,117.0,93.7,94.8,9.49,11.46,108.3,108.4,98.9,97.0,84,71,2.379999999999999,13,0
Louisville,Michigan St.,26.06,24.37,111.2,114.3,85.2,89.9,9.57,12.33,108.6,109.4,99.0,97.1,52,64,1.6899999999999977,-12,1
Missouri,Connecticut,24.81,29.25,116.6,116.0,91.8,86.8,7.96,10.37,106.4,109.0,98.4,98.6,75,82,-4.440000000000001,-7,1
Pittsburgh,Villanova,28.96,23.89,121.2,114.4,92.3,90.5,10.11,9.99,108.1,108.9,98.0,98.9,76,78,5.07,-2,1
North Carolina,Oklahoma,31.14,24.59,123.2,118.3,92.1,93.7,9.91,9.49,108.2,108.3,98.3,98.9,72,60,6.550000000000001,12,0
Connecticut,Michigan St.,29.25,24.37,116.0,114.3,86.8,89.9,10.37,12.33,109.0,109.4,98.6,97.1,73,82,4.879999999999999,-9,1
Villanova,North Carolina,23.89,31.14,114.4,123.2,90.5,92.1,9.99,9.91,108.9,108.2,98.9,98.3,69,83,-7.25,-14,1
North Carolina,Michigan St.,31.14,24.37,123.2,114.3,92.1,89.9,9.91,12.33,108.2,109.4,98.3,97.1,89,72,6.77,17,0
Kansas,Lehigh,31.85,-0.97,120.4,105.6,88.5,106.6,9.53,-10.02,108.2,96.8,98.7,106.8,90,74,32.82,16,0
UC Santa Barbara,Ohio St.,2.11,24.99,100.0,117.5,97.9,92.5,-1.0,7.88,102.8,106.3,103.8,98.4,51,68,-22.88,-17,1
Ohio,Georgetown,8.25,22.64,107.3,116.8,99.0,94.2,0.76,11.55,103.1,109.0,102.3,97.4,97,83,-14.39,14,0
Maryland,Houston,22.37,8.79,118.3,112.0,95.9,103.2,8.87,3.76,106.7,105.0,97.8,101.2,89,77,13.580000000000002,12,0
New Mexico St.,Michigan St.,6.03,20.13,111.6,112.8,105.5,92.7,4.03,9.03,105.8,107.5,101.7,98.5,67,70,-14.099999999999998,-3,1
Tennessee,San Diego St.,18.5,16.58,108.9,111.4,90.4,94.9,8.67,5.4,107.4,105.3,98.7,99.9,62,59,1.9200000000000017,3,0
Oklahoma St.,Georgia Tech,16.72,18.22,112.2,109.2,95.4,91.0,8.47,10.94,107.2,107.4,98.7,96.4,59,64,-1.5,-5,1
Northern Iowa,UNLV,18.87,16.56,109.6,110.6,90.8,94.0,4.08,4.08,105.7,104.8,101.6,100.7,69,66,2.3100000000000023,3,0
Syracuse,Vermont,27.62,3.08,118.5,104.1,90.9,101.0,8.62,-6.32,108.5,98.8,99.8,105.1,79,56,24.54,23,0
Kansas St.,North Texas,25.52,-0.47,116.1,103.4,90.6,103.8,11.99,-5.87,109.5,99.9,97.5,105.7,82,62,25.99,20,0
Pittsburgh,Oakland,18.66,3.19,111.4,107.5,92.8,104.3,7.87,-2.75,107.7,101.6,99.8,104.4,89,66,15.47,23,0
Murray St.,Vanderbilt,15.06,17.54,109.0,113.7,94.0,96.2,-5.78,8.14,100.2,107.1,106.0,99.0,66,65,-2.4799999999999986,1,0
UTEP,Butler,16.53,22.45,107.7,111.0,91.2,88.5,2.62,6.85,104.1,106.7,101.5,99.9,59,77,-5.919999999999998,-18,1
Xavier,Minnesota,20.87,17.97,115.5,112.0,94.6,94.1,8.04,8.37,106.2,107.7,98.2,99.3,65,54,2.900000000000002,11,0
BYU,Florida,23.27,15.23,117.3,113.0,94.0,97.8,3.88,7.75,104.9,106.6,101.0,98.8,99,92,8.04,7,0
Gonzaga,Florida St.,16.14,18.02,112.3,105.0,96.1,87.0,3.42,9.01,105.5,107.3,102.1,98.3,67,60,-1.879999999999999,7,0
East Tennessee St.,Kentucky,2.47,26.54,100.9,114.9,98.4,88.3,-1.26,7.06,102.1,106.5,103.3,99.5,71,100,-24.07,-29,1
Morgan St.,West Virginia,1.58,25.54,105.5,117.2,104.0,91.7,-7.71,12.58,98.2,110.0,105.9,97.5,50,77,-23.96,-27,1
New Mexico,Montana,16.18,8.08,113.6,106.5,97.4,98.4,4.09,-2.21,105.0,103.4,100.9,105.6,62,57,8.1,5,0
Wofford,Wisconsin,10.12,23.56,104.6,115.2,94.4,91.6,-1.55,8.69,102.2,107.9,103.8,99.2,49,53,-13.44,-4,1
Cornell,Temple,15.92,20.12,117.4,107.8,101.5,87.7,-0.66,6.07,101.2,106.4,101.9,100.3,78,65,-4.200000000000001,13,0
Marquette,Washington,19.65,18.19,115.1,111.7,95.5,93.6,9.05,6.97,108.0,106.7,98.9,99.7,78,80,1.4599999999999973,-2,1
Clemson,Missouri,19.28,19.99,110.9,111.5,91.6,91.5,8.76,8.17,106.3,107.1,97.6,98.9,78,86,-0.7099999999999973,-8,1
Texas,Wake Forest,20.75,14.12,113.9,107.1,93.1,93.0,9.01,10.51,107.2,107.4,98.2,96.9,80,81,6.630000000000001,-1,1
Arkansas Pine Bluff,Duke,-6.44,33.29,93.1,121.0,99.5,87.7,-7.62,11.53,96.4,107.9,104.0,96.4,44,73,-39.73,-29,1
Robert Morris,Villanova,-0.97,21.24,99.9,117.2,100.8,96.0,-7.18,10.03,98.1,108.7,105.3,98.7,70,73,-22.209999999999997,-3,1
Sam Houston St.,Baylor,7.42,24.95,110.2,119.2,102.7,94.3,-3.33,10.59,101.3,108.3,104.6,97.7,59,68,-17.53,-9,1
Purdue,Siena,22.05,13.86,109.8,109.4,87.7,95.5,8.81,-0.51,107.8,100.9,99.0,101.4,72,64,8.190000000000001,8,0
Texas A&M,Utah St.,21.33,19.9,112.6,116.0,91.2,96.1,11.51,1.81,109.4,105.0,97.9,103.2,69,53,1.4299999999999997,16,0
Notre Dame,Old Dominion,17.71,17.51,119.4,107.8,101.7,90.3,6.28,3.17,106.5,105.0,100.2,101.9,50,51,0.1999999999999993,-1,1
Richmond,Saint Mary's,15.01,18.59,108.8,116.5,93.8,97.9,5.7,2.72,105.4,105.4,99.7,102.7,71,80,-3.58,-9,1
California,Louisville,22.15,16.91,119.6,114.5,97.4,97.6,9.03,8.87,106.5,107.8,97.5,99.0,77,62,5.239999999999998,15,0
Northern Iowa,Kansas,18.87,31.85,109.6,120.4,90.8,88.5,4.08,9.53,105.7,108.2,101.6,98.7,69,67,-12.98,2,0
Ohio St.,Georgia Tech,24.99,18.22,117.5,109.2,92.5,91.0,7.88,10.94,106.3,107.4,98.4,96.4,75,66,6.77,9,0
Tennessee,Ohio,18.5,8.25,108.9,107.3,90.4,99.0,8.67,0.76,107.4,103.1,98.7,102.3,83,68,10.25,15,0
Michigan St.,Maryland,20.13,22.37,112.8,118.3,92.7,95.9,9.03,8.87,107.5,106.7,98.5,97.8,85,83,-2.240000000000002,2,0
Gonzaga,Syracuse,16.14,27.62,112.3,118.5,96.1,90.9,3.42,8.62,105.5,108.5,102.1,99.8,65,87,-11.48,-22,1
BYU,Kansas St.,23.27,25.52,117.3,116.1,94.0,90.6,3.88,11.99,104.9,109.5,101.0,97.5,72,84,-2.25,-12,1
Pittsburgh,Xavier,18.66,20.87,111.4,115.5,92.8,94.6,7.87,8.04,107.7,106.2,99.8,98.2,68,71,-2.210000000000001,-3,1
Murray St.,Butler,15.06,22.45,109.0,111.0,94.0,88.5,-5.78,6.85,100.2,106.7,106.0,99.9,52,54,-7.389999999999999,-2,1
Kentucky,Wake Forest,26.54,14.12,114.9,107.1,88.3,93.0,7.06,10.51,106.5,107.4,99.5,96.9,90,60,12.42,30,0
Missouri,West Virginia,19.99,25.54,111.5,117.2,91.5,91.7,8.17,12.58,107.1,110.0,98.9,97.5,59,68,-5.550000000000001,-9,1
New Mexico,Washington,16.18,18.19,113.6,111.7,97.4,93.6,4.09,6.97,105.0,106.7,100.9,99.7,64,82,-2.0100000000000016,-18,1
