Team1,Team2,Eff1,Eff2,Off1,Off2,Def1,Def2,SOS_Eff1,SOS_Eff2,SOS_Off1,SOS_Off2,SOS_Def1,SOS_Def2,BPI_Off1,BPI_Off2,BPI_Def1,BPI_Def2,BPI1,BPI2,Elo1,Elo2,Score1,Score2,Eff_Diff,Score_Diff,Winner
Louisville,Morehead St.,26.06,0.76,111.2,102,85.2,101.3,9.57,-1.9,108.6,103.6,99,105.5,7.8,-0.7,9.6,1.5,17.4,0.8,1710.122257,1496.85968,74,54,25.3,20,0
Robert Morris,Michigan St.,1.49,24.37,102,114.3,100.6,89.9,-7.27,12.33,99.3,109.4,106.5,97.1,1.2,7.8,1.5,6.1,2.7,14,1566.022736,1715.174508,62,77,-22.88,-15,1
North Dakota St.,Kansas,12.29,23.83,114.3,114.5,102,90.7,-1.6,8.83,103.1,107.9,104.7,99.1,10.8,8.8,-2.4,6.1,8.4,14.9,1637.885637,1681.65803,74,84,-11.54,-10,1
Cleveland St.,Wake Forest,11.96,18.88,105.3,111.6,93.3,92.7,3.76,7.66,104.6,107.5,100.9,99.9,-0.8,11.7,7.5,1.2,6.7,12.9,1616.197432,1685.76063,84,69,-6.92,15,0
Utah,Arizona,17.8,15.96,110.8,117.7,92.9,101.8,7.29,11.33,107.9,109,100.6,97.7,3.6,7,3.1,-0.2,6.7,6.8,1654.097705,1587.806724,71,84,1.84,-13,1
West Virginia,Dayton,24.21,10.23,115.1,103.3,90.9,93,10.95,2.34,108.9,104.9,98,102.6,6.5,-0.4,10,7.3,16.6,6.9,1640.995602,1703.055512,60,68,13.98,-8,1
USC,Boston College,18.26,11.2,110,113.2,91.8,102,10.81,6.4,110.5,106.6,99.7,100.2,2.3,7.7,7.5,0.7,9.8,8.4,1605.226864,1609.931655,72,55,7.06,17,0
Siena,Ohio St.,11.93,16.34,110.3,113.3,98.4,96.9,0.91,9.46,102.4,107.7,101.5,98.2,8.9,2.9,-1.3,6.8,7.7,9.7,1660.573056,1641.470055,74,72,-4.41,2,0
Connecticut,Chattanooga,29.25,-4.04,116,104.3,86.8,108.4,10.37,-3.37,109,102.1,98.6,105.5,12.3,4.9,6.4,-6.9,18.6,-1.9,1752.288411,1494.650182,103,47,33.29,56,0
Memphis,Cal St. Northridge,28.67,5.18,112.8,102.2,84.2,97,4.73,0.26,105.5,104,100.8,103.7,8.1,4.3,10.3,-2.4,18.5,1.9,1743.116338,1521.925006,81,70,23.49,11,0
Missouri,Cornell,24.81,5.23,116.6,108.5,91.8,103.3,7.96,-5.58,106.4,99,98.4,104.6,12.9,4.8,2.9,0.6,15.8,5.4,1712.186856,1581.262519,78,59,19.58,19,0
Mississippi St.,Washington,11.55,22.09,107.8,113.1,96.2,91,4.96,10.18,105.3,109.4,100.3,99.2,5.7,11.8,1.1,-0.1,6.8,11.8,1585.989633,1660.106148,58,71,-10.54,-13,1
Northern Iowa,Purdue,9.7,21.84,110.6,110.5,100.9,88.7,3.1,8.94,104.7,107.2,101.6,98.3,0.8,5.6,4.5,8,5.3,13.5,1587.331366,1661.69332,56,61,-12.14,-5,1
Utah St.,Marquette,15.12,21.02,116.7,117.1,101.6,96.1,-0.47,8.22,103.2,107.8,103.6,99.5,2.8,10.6,3.9,1.3,6.7,11.8,1734.187348,1664.137417,57,58,-5.9,-1,1
Maryland,California,13.55,17.37,110,116.8,96.4,99.4,9.61,9.17,108.3,108,98.7,98.8,5.7,8.9,3.5,0.4,9.3,9.3,1601.394377,1652.847706,84,71,-3.82,13,0
Texas A&M,BYU,15.01,20.1,113.1,114,98.1,93.9,7.85,4.57,107.1,105.4,99.3,100.9,3.9,8,3.8,2.2,7.8,10.1,1660.219616,1678.079475,79,66,-5.09,13,0
Pittsburgh,East Tennessee St.,28.96,5.67,121.2,106.4,92.3,100.7,10.11,-4.73,108.1,100.2,98,105,11,5.7,7,-2,18.1,3.7,1758.879315,1613.562565,72,62,23.29,10,0
Binghamton,Duke,-0.98,24.31,102.3,117.5,103.3,93.2,-5.64,10.23,99.6,108.5,105.3,98.3,0.9,11.3,-1.6,7,-0.7,18.4,1593.093856,1726.724099,62,85,-25.29,-23,1
Villanova,American,23.89,4.7,114.4,105.3,90.5,100.6,9.99,-6.34,108.9,97.6,98.9,104,10.5,-2.3,5.3,5.8,15.9,3.6,1709.600214,1607.612826,80,67,19.19,13,0
Portland St.,Xavier,4.04,20.24,109.2,111,105.1,90.8,-3.32,5.81,101.5,105.8,104.8,100,4.9,6.1,-1.9,7.3,3.1,13.5,1616.853649,1723.778172,59,77,-16.2,-18,1
Wisconsin,Florida St.,17.62,15.76,113.3,105.9,95.7,90.1,9.51,10.01,107.3,109.2,97.8,99.2,0.6,2.5,9.9,7.4,10.6,9.9,1605.1859,1673.819062,61,59,1.86,2,0
VCU,UCLA,13.62,23.93,110.1,119.5,96.4,95.6,0.23,8.42,102.9,107.6,102.7,99.1,5,10.4,3.8,3.3,8.8,13.7,1622.426994,1660.140624,64,65,-10.31,-1,1
Texas,Minnesota,19.65,15.43,112.2,108.1,92.5,92.6,10.16,8.44,109.2,107.4,99,98.9,5.8,1.1,5.7,6.1,11.5,7.2,1633.965274,1661.232837,76,62,4.22,14,0
Tennessee,Oklahoma St.,16.48,18.33,115.1,116.4,98.7,98.1,9.4,10.46,107.9,108.8,98.5,98.4,11.1,12.3,1.5,-1.2,12.6,11.1,1632.170132,1641.838373,75,77,-1.85,-2,1
Radford,North Carolina,-0.86,31.14,101.2,123.2,102.1,92.1,-4.54,9.91,101,108.2,105.5,98.3,2,20.3,-2.5,1.2,-0.5,21.5,1535.065923,1761.299207,58,101,-32,-43,1
Oklahoma,Morgan St.,24.59,0.99,118.3,100.1,93.7,99.1,9.49,-7.43,108.3,98.2,98.9,105.7,10.8,-2.4,3.7,2.4,14.5,0,1757.967884,1547.898581,82,54,23.6,28,0
Stephen F. Austin,Syracuse,6.52,22.21,97,117,90.4,94.8,-1.98,11.46,101.9,108.4,103.9,97,-5.4,13.4,10.8,0.4,5.5,13.8,1632.288467,1695.901102,44,59,-15.69,-15,1
Akron,Gonzaga,6.9,24.51,102.9,117.5,96,93,-1.6,4.63,100.9,105.1,102.5,100.5,0.4,12.8,5.4,2.6,5.8,15.4,1583.386388,1700.259092,64,77,-17.61,-13,1
Illinois,Western Kentucky,18.72,8.1,106.8,111.1,88.1,103,7.96,-0.6,106.5,102.2,98.6,102.8,0.7,3.9,11.3,-0.4,12,3.5,1674.024369,1625.16413,72,76,10.62,-4,1
Temple,Arizona St.,14.38,23.03,109.9,118.2,95.5,95.2,6.68,10.14,106.9,108.9,100.3,98.8,2.7,4.1,7,8.9,9.7,13,1601.046737,1665.967084,57,66,-8.65,-9,1
Clemson,Michigan,19.62,14.75,116.4,112.2,96.7,97.5,6.19,11.39,105.4,108.5,99.2,97.1,10.7,3.3,3.1,5,13.8,8.3,1685.934597,1607.539185,59,62,4.87,-3,1
