Team1,Team2,Eff1,Eff2,Off1,Off2,Def1,Def2,SOS_Eff1,SOS_Eff2,SOS_Off1,SOS_Off2,SOS_Def1,SOS_Def2,BPI_Off1,BPI_Off2,BPI_Def1,BPI_Def2,BPI1,BPI2,Elo1,Elo2,Score1,Score2,Eff_Diff,Score_Diff,Winner
Oregon St.,VCU,0.03069838833461236,0.1784679089026917,0.013477088948786964,0.055865921787709105,-0.035598705501618366,-0.21481481481481524,0.6520376175548586,0.14412595882115453,0.6781609195402301,0.3636363636363631,-0.40625000000000033,0.028985507246376274,-0.22923588039867104,-0.03157894736842115,0.0078125,0.11553784860557759,0.04469273743016755,0.158227848101266,-0.05458454222304021,-0.001356429930013503,67,75,-0.05337145580176317,-8,1
Cincinnati,Saint Joseph's,0.23829623944742884,0.1080745341614906,0.040431266846361114,0.1787709497206702,-0.3592233009708742,0.07407407407407418,0.3064263322884013,0.21194993944287455,0.3908045977011494,0.32467532467532445,-0.10937500000000155,-0.14492753623188515,-0.12956810631229232,0.03157894736842093,0.3671875,-0.10756972111553798,0.3910614525139664,0.03797468354430378,0.042433029149200774,0.32212242071540875,76,78,0.1160352632832975,-2,1
North Carolina,Florida Gulf Coast,0.7279355333844975,-0.5316770186335403,0.7520215633423184,-0.4189944134078216,-0.32686084142394856,0.42962962962962936,0.7962382445141065,-0.6350423899878885,0.8965517241379319,-0.05194805194805263,-0.40625000000000033,0.9710144927536228,0.5681063122923589,-0.49473684210526325,-0.007812500000000111,-0.2828685258964144,0.7094972067039109,-0.5759493670886076,0.48817181062242043,-0.39529144496263047,83,67,0.7881820347867525,16,0
Weber St.,Xavier,-0.32233307751343054,0.4041407867494824,-0.380053908355795,0.33519553072625663,0.0809061488673144,-0.24444444444444524,-0.5454545454545454,0.4945498587000403,-0.06896551724137956,0.4805194805194808,0.9687499999999996,-0.47826086956521807,-0.34219269102990035,0.28421052631578925,-0.1718749999999999,0.03585657370517925,-0.1787709497206703,0.3797468354430382,-0.0005885804126953831,0.4966339049569872,53,71,-0.4024303073624017,-18,1
Stephen F. Austin,West Virginia,0.1830391404451266,0.484057971014493,0.09433962264150941,0.23463687150837975,-0.19741100323624627,-0.5185185185185186,-0.5619122257053292,0.7432377876463465,-0.13793103448275823,0.8311688311688317,0.9062499999999987,-0.5362318840579725,-0.1428571428571429,0.20000000000000018,0.125,0.3306772908366533,0.1955307262569832,0.5316455696202533,0.1801048993988652,0.2915966560510863,70,56,-0.13461996664284004,14,0
Kentucky,Stony Brook,0.5483499616270147,-0.191718426501035,0.6118598382749325,-0.2122905027932963,-0.19741100323624627,0.08888888888888813,0.5548589341692789,-0.6164715381509891,0.5402298850574709,-0.15584415584415612,-0.3906250000000012,0.811594202898551,0.30232558139534893,-0.3192982456140352,0.1171875,0.24302788844621515,0.569832402234637,2.220446049250313e-16,0.30534353452571406,0.15362802451896096,85,57,0.48105789849892777,28,0
Indiana,Chattanooga,0.46815042210283986,-0.25921325051759825,0.6064690026954178,-0.2011173184357543,-0.06148867313915829,0.22962962962962918,0.4004702194357366,-0.4210738796931772,0.5632183908045978,-0.012987012987012214,-0.06249999999999978,0.6231884057971002,0.415282392026578,-0.38245614035087727,-0.04687500000000011,0.003984063745019917,0.5474860335195533,-0.24683544303797456,0.22548642989423962,0.3564030115462571,99,74,0.47009768882535163,25,0
Notre Dame,Michigan,0.22064466615502698,0.05755693581780541,0.5471698113207544,0.19553072625698276,0.2815533980582525,0.1925925925925922,0.7413793103448272,0.5591441259588215,0.8505747126436785,0.7272727272727262,-0.3593750000000008,-0.31884057971014645,0.08970099667774067,-0.136842105263158,-0.0390625,0.21912350597609564,0.2793296089385475,0.14556962025316467,0.07440098034324882,-0.04321773507007365,70,63,0.13414343578746735,7,0
Pittsburgh,Wisconsin,0.22064466615502698,0.15693581780538324,0.23989218328841,-0.05586592178770988,-0.0873786407766991,-0.3185185185185193,0.6089341692789967,0.6083972547436416,0.7931034482758623,0.7532467532467526,-0.17187500000000022,-0.3768115942028988,-0.0033222591362126463,-0.4666666666666667,0.171875,0.5378486055776892,0.35195530726257007,0.10759493670886089,0.11785406951331745,-0.20245912021237533,43,47,0.07695973314272098,-4,1
Providence,USC,0.13967766692248684,0.061697722567287894,-0.024258760107816912,0.15642458100558687,-0.26860841423948223,0.13333333333333308,0.5987460815047019,0.4501412999596286,0.6436781609195408,0.5454545454545456,-0.34375000000000167,-0.31884057971014645,-0.09634551495016608,0.11578947368421044,-0.1015625,-0.31474103585657376,0.07821229050279332,-0.050632911392405,0.198844661495295,-0.017609873667900233,70,69,0.08148677626876344,1,0
