Rk,Team,Conf,W-L,AdjEM,AdjO,AdjO2,AdjD,AdjD2,AdjT,AdjT2,Luck,Luck2,Strength of Schedule AdjEM,Strength of Schedule AdjEM2,Strength of Schedule OppO,Strength of Schedule OppO2,Strength of Schedule OppD,Strength of Schedule OppD2,NCSOS AdjEM,NCSOS AdjEM2,Seed,Year,BPI Off,BPI Def,BPI,Elo
2,Duke,ACC,32-5,28.42,119.7,5,91.3,9,68.6,40,0.017,140,8.43,30,107.3,36,98.9,15,3.48,64,1,2011,13.7,5.3,19.0,1761.532699
3,Kansas,B12,35-3,28.38,118.9,6,90.6,6,68.4,42,0.06,38,7.75,32,108.2,28,100.5,61,-0.29,164,1,2011,13.3,6.5,19.8,1802.665243
4,Pittsburgh,BE,28-6,27.08,120.6,4,93.5,24,61.8,315,-0.023,236,8.17,31,107.6,32,99.4,24,-3.68,254,1,2011,8.8,9.4,18.2,1733.928571
5,Texas,B12,28-8,25.93,115.5,21,89.6,4,65.5,161,-0.057999999999999996,307,7.61,35,107.5,34,99.9,37,0.6,143,4,2011,8.0,8.1,16.1,1698.613466
6,Wisconsin,B10,25-9,25.84,122.3,2,96.5,52,56.9,344,-0.003,191,10.81,11,110.0,9,99.2,20,-3.58,253,4,2011,3.7,12.2,16.0,1656.062085
7,Kentucky,SEC,29-9,25.82,117.8,8,92.0,16,65.0,184,-0.044000000000000004,285,9.81,18,108.4,23,98.5,10,4.46,52,4,2011,8.7,7.8,16.5,1688.661972
8,San Diego St.,MWC,34-3,24.98,114.1,28,89.1,2,62.3,306,0.059000000000000004,43,7.48,38,107.6,31,100.1,48,4.1,56,2,2011,6.6,9.0,15.6,1796.9286100000004
9,Purdue,B10,26-8,24.79,115.9,18,91.1,8,66.0,136,0.006999999999999999,161,10.16,14,108.8,18,98.7,12,1.21,120,3,2011,7.1,9.1,16.2,1693.2733690000002
10,Connecticut,BE,32-9,23.93,115.8,19,91.9,15,64.5,221,0.048,58,12.78,2,110.1,8,97.4,2,-0.77,179,3,2011,6.8,5.0,11.8,1709.24121
11,Notre Dame,BE,27-7,23.25,120.9,3,97.7,66,63.1,277,0.07400000000000001,24,9.92,17,108.2,27,98.3,6,-3.83,257,2,2011,9.8,4.2,14.0,1709.042255
12,BYU,MWC,32-5,23.22,117.5,11,94.3,29,70.2,17,0.055,46,7.04,43,106.8,49,99.8,34,3.59,62,3,2011,13.2,0.8,14.0,1771.255478
13,Syracuse,BE,27-8,22.49,114.9,24,92.4,17,64.6,212,0.032,99,9.03,23,108.3,24,99.3,23,-2.31,215,3,2011,7.2,7.3,14.6,1706.0822079999996
14,Louisville,BE,25-10,22.26,111.4,52,89.2,3,66.8,88,-0.037000000000000005,269,8.77,27,108.3,26,99.5,27,-5.13,289,4,2011,8.0,5.9,13.9,1677.590327
15,North Carolina,ACC,29-8,22.18,111.8,49,89.6,5,70.6,15,0.064,33,11.14,8,109.9,11,98.8,14,6.01,36,2,2011,11.2,4.2,15.4,1684.547713
16,Washington,P10,24-11,21.69,117.7,10,96.0,49,69.9,21,-0.099,334,7.21,40,106.9,46,99.7,30,1.07,122,7,2011,13.7,-0.2,13.5,1641.642603
17,Florida,SEC,29-8,20.61,115.8,20,95.2,38,62.5,300,0.038,84,7.73,33,106.8,47,99.1,19,1.55,110,2,2011,8.6,6.5,15.1,1704.660895
18,Illinois,B10,20-14,20.14,113.3,34,93.1,23,64.8,202,-0.07400000000000001,322,12.29,6,110.6,5,98.3,8,3.15,68,9,2011,6.4,6.1,12.5,1613.550326
19,West Virginia,BE,21-12,20.11,114.9,23,94.8,35,62.5,298,-0.018000000000000002,227,12.7,3,111.0,1,98.3,7,7.1,21,5,2011,4.5,8.4,12.9,1623.532554
20,Arizona,P10,30-8,19.65,117.4,12,97.8,67,65.3,170,0.064,32,7.69,34,107.7,30,100.0,41,-0.36,166,5,2011,9.7,3.0,12.7,1705.368461
21,Cincinnati,BE,26-9,19.41,111.1,55,91.7,13,62.6,293,0.04,80,6.23,55,106.8,48,100.6,64,-9.35,334,6,2011,2.1,8.8,10.9,1678.654302
22,Utah St.,WAC,30-4,19.32,111.2,54,91.8,14,62.4,302,0.033,93,-0.29,160,103.8,142,104.1,186,-2.4,217,12,2011,2.9,8.5,11.4,1733.031148
23,Belmont,ASun,30-5,18.48,112.6,40,94.1,28,68.4,44,-0.006,196,-4.71,270,100.5,279,105.2,245,-1.05,184,13,2011,9.1,4.4,13.5,1696.7968050000004
24,George Mason,CAA,27-7,18.3,114.1,29,95.8,45,64.5,217,0.027999999999999997,108,2.06,105,105.0,93,103.0,135,0.66,140,8,2011,5.5,5.6,11.1,1674.715078
25,Clemson,ACC,22-12,18.16,109.6,71,91.5,11,63.9,248,-0.087,329,6.99,45,106.7,53,99.7,33,-2.81,230,12,2011,2.3,8.4,10.7,1613.8726279999996
26,Marquette,BE,22-15,18.14,115.5,22,97.3,62,66.2,116,-0.057999999999999996,306,11.06,9,109.4,13,98.4,9,-5.91,308,11,2011,8.1,3.0,11.1,1597.634099
27,Wichita St.,MVC,29-8,17.94,113.9,31,95.9,48,64.9,193,-0.040999999999999995,280,0.89,133,102.9,181,102.0,96,-4.72,279,4,2011,5.5,4.9,10.4,1680.268493
28,Villanova,BE,21-12,17.83,114.9,25,97.0,59,65.0,182,-0.04,278,9.07,21,108.3,25,99.3,22,-0.79,181,9,2011,7.1,5.2,12.4,1636.806705
29,UNLV,MWC,24-9,17.75,110.6,57,92.9,21,66.4,110,0.003,170,5.99,58,106.2,66,100.2,52,1.85,98,8,2011,5.9,6.4,12.2,1669.184027
30,Michigan,B10,21-14,17.69,112.8,39,95.1,37,61.5,322,-0.013999999999999999,218,12.0,7,110.7,4,98.7,13,-1.19,189,8,2011,1.4,7.7,9.1,1590.710382
31,Georgetown,BE,21-11,17.65,114.2,27,96.6,55,63.4,265,0.048,60,12.51,4,110.2,6,97.7,3,5.8,39,6,2011,5.8,5.9,11.7,1680.6558530000002
32,Kansas St.,B12,23-11,17.42,111.1,56,93.6,25,66.4,106,0.01,149,9.23,19,108.5,21,99.3,21,0.73,135,5,2011,5.8,5.1,10.8,1649.239334
33,Vanderbilt,SEC,23-11,17.33,116.6,16,99.2,87,66.1,125,-0.05,296,6.66,50,106.5,60,99.8,35,2.52,84,5,2011,9.1,3.5,12.7,1656.655866
34,Temple,A10,26-8,16.84,110.5,60,93.7,26,64.2,232,0.013999999999999999,144,4.04,79,105.5,82,101.5,82,5.83,38,7,2011,4.1,6.6,10.7,1656.848636
35,Florida St.,ACC,23-11,16.76,104.5,147,87.7,1,66.7,95,-0.017,225,7.01,44,107.1,41,100.1,46,-1.82,204,10,2011,2.3,8.3,10.5,1622.644418
36,Butler,Horz,28-10,16.46,112.3,43,95.9,46,63.5,262,0.033,94,6.11,57,106.4,61,100.3,54,6.67,26,8,2011,5.0,5.2,10.2,1634.5195119999996
37,Gonzaga,WCC,25-10,16.45,112.1,45,95.6,44,66.1,126,-0.006999999999999999,199,3.82,80,106.4,62,102.6,115,4.5,51,11,2011,7.9,2.4,10.3,1619.480231
38,Xavier,A10,24-8,16.02,112.8,37,96.8,58,64.3,229,0.035,89,4.49,73,105.4,85,100.9,72,6.02,35,6,2011,5.2,5.3,10.5,1659.81106
39,Richmond,A10,29-8,16.01,112.6,41,96.5,54,62.1,309,0.052000000000000005,52,3.11,91,104.8,104,101.7,89,1.0,124,12,2011,2.8,7.4,10.2,1666.332311
40,Virginia Tech,ACC,22-12,15.91,109.7,70,93.7,27,63.7,253,-0.028999999999999998,252,6.4,53,106.5,57,100.1,47,-0.08,158,1,2011,3.5,6.4,10.0,1599.510327
41,St. John's,BE,21-12,15.87,111.2,53,95.3,40,66.0,133,0.047,62,10.98,10,110.0,10,99.0,18,1.69,104,6,2011,4.0,4.7,8.6,1598.711932
42,Missouri,B12,23-11,15.54,113.4,33,97.8,68,70.7,14,-0.013000000000000001,213,6.5,52,106.9,44,100.4,59,-4.76,281,11,2011,11.1,0.4,11.6,1640.604168
43,Saint Mary's,WCC,25-9,15.49,117.2,13,101.7,127,64.9,190,-0.027000000000000003,246,1.46,120,104.7,105,103.2,147,1.3,116,2,2011,8.0,2.3,10.3,1688.66371
45,Michigan St.,B10,19-15,15.08,109.5,73,94.4,30,65.0,186,0.01,152,13.7,1,111.0,2,97.3,1,6.7,25,10,2011,4.6,5.0,9.7,1592.547931
46,Penn St.,B10,19-15,14.88,113.1,35,98.3,76,59.4,339,0.037000000000000005,85,12.46,5,110.7,3,98.3,5,-0.62,172,10,2011,-0.4,7.9,7.5,1572.796068
47,New Mexico,MWC,22-13,14.7,111.9,48,97.2,61,64.9,191,-0.07,318,5.15,68,106.2,64,101.1,77,-1.74,201,4,2011,4.8,3.8,8.6,1602.375693
48,Old Dominion,CAA,27-7,14.66,110.0,64,95.4,41,60.4,330,0.059000000000000004,41,2.38,100,105.2,91,102.8,126,2.76,78,9,2011,-0.5,10.0,9.5,1679.521863
49,Texas A&M,B12,24-9,14.62,110.0,65,95.4,42,60.9,328,0.05,57,5.43,67,105.9,72,100.5,62,-7.5,323,7,2011,1.1,8.7,9.8,1671.875108
50,Northwestern,B10,20-14,14.03,116.8,15,102.7,152,62.8,283,0.008,157,8.91,25,108.6,20,99.7,29,-7.7,325,4,2011,6.5,2.4,8.8,1578.678239
51,Alabama,SEC,25-12,13.7,104.6,144,90.9,7,63.9,245,-0.003,190,3.28,87,104.8,102,101.5,84,-5.62,302,1,2011,-0.1,9.8,9.6,1567.403825
52,UCLA,P10,23-11,13.57,108.7,80,95.1,36,65.5,163,0.033,95,6.92,46,107.3,38,100.4,56,0.26,153,7,2011,3.3,2.7,6.0,1622.479985
53,VCU,CAA,28-12,13.49,112.0,47,98.5,78,65.6,156,0.021,128,4.79,70,105.8,74,101.0,75,2.26,89,11,2011,6.6,1.6,8.2,1621.862669
54,Colorado,B12,24-14,13.45,117.7,9,104.3,191,66.8,92,-0.027000000000000003,247,6.15,56,106.5,58,100.3,55,-7.18,320,1,2011,9.5,-3.1,6.3,1569.755529
56,Oakland,Sum,25-10,13.31,118.6,7,105.3,221,71.1,9,0.021,129,2.01,106,106.0,68,104.0,180,14.82,1,13,2011,13.4,-6.1,7.3,1598.2270640000004
57,USC,P10,19-15,13.29,107.9,91,94.6,33,61.7,318,-0.05,294,7.56,36,107.8,29,100.2,53,2.66,81,11,2011,-0.6,8.4,7.9,1559.246
60,Washington St.,P10,22-13,12.78,108.1,88,95.3,39,67.4,65,0.002,179,6.91,47,107.3,35,100.4,60,0.35,149,2,2011,5.6,3.0,8.7,1615.037446
61,Miami FL,ACC,21-15,12.59,112.8,38,100.2,105,64.4,228,-0.05,295,6.36,54,106.4,63,100.0,44,-1.93,208,2,2011,5.4,2.7,8.0,1588.803325
62,Tennessee,SEC,19-15,12.41,108.0,90,95.6,43,66.1,131,-0.013000000000000001,214,9.07,22,108.6,19,99.6,28,6.45,27,9,2011,4.4,4.7,9.0,1623.424258
63,Georgia,SEC,21-12,12.24,108.2,86,95.9,47,63.5,261,-0.003,193,5.83,61,106.2,65,100.4,58,-0.69,176,10,2011,3.5,5.8,9.4,1626.179598
64,Nebraska,B12,19-13,11.82,104.9,133,93.1,22,62.2,308,-0.049,292,4.21,77,105.6,80,101.4,80,-11.74,343,5,2011,-1.6,9.0,7.4,1600.1778539999998
65,UAB,CUSA,22-9,11.64,108.8,78,97.2,60,61.8,314,0.025,118,2.16,103,104.3,121,102.1,98,-2.02,210,12,2011,1.3,6.2,7.5,1635.257106
67,Boston College,ACC,21-13,11.36,116.8,14,105.5,225,62.8,286,0.048,61,6.9,49,106.8,50,99.9,38,0.89,126,1,2011,6.4,-0.1,6.3,1603.025479
68,Cleveland St.,Horz,27-9,11.06,109.1,74,98.0,72,65.0,185,0.032,101,1.78,111,104.6,109,102.8,123,2.34,88,2,2011,2.1,4.5,6.6,1696.972185
70,College of Charleston,SC,26-11,10.99,114.5,26,103.5,173,65.9,146,-0.013999999999999999,217,-0.11,155,103.6,150,103.7,169,4.59,50,6,2011,7.5,-0.1,7.4,1632.039874
71,Harvard,Ivy,23-7,10.61,112.4,42,101.8,129,63.4,264,0.051,53,-0.28,159,103.7,149,103.9,179,3.07,71,6,2011,2.2,2.7,4.9,1647.374541
72,UTEP,CUSA,25-10,10.39,105.0,132,94.6,32,66.4,107,-0.009000000000000001,203,0.3,148,103.7,148,103.4,154,-3.76,256,5,2011,2.0,3.0,4.9,1632.38973
73,Oklahoma St.,B12,20-14,10.22,106.7,104,96.5,53,64.5,218,0.040999999999999995,78,7.04,42,106.9,43,99.9,40,-2.51,220,3,2011,2.0,4.2,6.2,1600.544998
75,California,P10,18-15,10.02,109.9,68,99.8,99,67.5,61,0.036000000000000004,87,8.97,24,108.5,22,99.5,25,6.17,32,4,2011,5.8,-1.0,4.8,1570.043158
76,Mississippi,SEC,20-14,9.91,113.0,36,103.1,162,66.0,138,-0.042,283,3.13,89,104.1,127,101.0,74,-2.6,222,5,2011,7.1,0.7,7.7,1600.129173
77,Colorado St.,MWC,19-13,9.55,108.6,81,99.1,84,66.1,132,0.002,173,5.56,64,106.2,67,100.6,66,0.51,146,3,2011,4.1,1.5,5.6,1596.446008
79,Princeton,Ivy,25-7,9.09,107.2,97,98.1,75,62.6,292,0.091,15,-0.72,166,104.0,136,104.7,219,0.33,150,13,2011,0.1,4.6,4.6,1653.870774
84,Wofford,SC,21-13,8.17,112.3,44,104.2,189,63.2,275,-0.024,239,-0.59,164,104.0,134,104.6,214,6.96,23,14,2011,4.7,0.6,5.3,1536.292493
89,Morehead St.,OVC,25-10,7.01,105.6,119,98.6,80,63.4,267,0.023,125,-2.89,226,102.2,210,105.1,238,2.66,80,13,2011,-0.1,5.1,5.0,1614.855182
90,Memphis,CUSA,25-10,6.98,104.5,146,97.6,65,67.6,59,0.11699999999999999,9,2.11,104,104.8,100,102.7,121,-4.74,280,12,2011,4.5,1.3,5.8,1663.030821
94,Long Beach St.,BW,22-12,6.66,106.7,103,100.1,103,68.7,39,0.06,40,1.86,109,104.0,132,102.2,101,12.23,6,7,2011,3.7,-2.4,1.4,1578.465405
96,Bucknell,Pat,25-9,6.57,105.8,116,99.2,88,64.5,216,0.068,28,-3.41,239,102.7,187,106.1,299,1.56,109,14,2011,-0.2,3.5,3.3,1592.695634
97,Dayton,A10,22-14,6.47,104.8,137,98.3,77,65.2,175,0.062,36,3.65,82,104.3,117,100.7,68,-0.15,159,3,2011,0.6,3.8,4.4,1616.995858
99,Kent St.,MAC,25-12,6.25,105.7,117,99.5,92,66.4,111,0.052000000000000005,50,0.43,143,103.5,157,103.0,141,0.86,127,7,2011,2.2,0.9,3.1,1624.738176
104,Fairfield,MAAC,25-8,5.88,98.7,257,92.8,19,65.2,176,0.042,76,-4.56,267,100.2,294,104.7,218,-5.55,299,6,2011,-2.6,7.5,4.9,1637.181849
108,Indiana St.,MVC,20-14,5.45,102.8,183,97.4,63,65.0,189,0.051,55,3.4,85,105.8,75,102.4,108,2.76,79,14,2011,0.1,3.4,3.6,1530.54673
109,LIU Brooklyn,NEC,27-6,5.43,109.6,72,104.2,190,73.3,4,0.053,49,-6.02,304,99.7,306,105.8,278,-5.31,291,15,2011,9.8,-6.7,3.1,1651.93118
117,Coastal Carolina,BSth,28-6,4.52,104.9,134,100.4,110,65.8,149,0.10099999999999999,12,-6.53,312,99.6,307,106.2,302,-4.21,269,8,2011,4.2,1.6,5.9,1694.7674530000004
118,Akron,MAC,23-13,4.09,103.7,163,99.6,94,65.9,144,0.043,74,-1.7,187,102.5,201,104.2,188,-0.43,169,15,2011,1.2,1.9,3.0,1575.029568
119,Northern Colorado,BSky,21-11,4.05,106.3,109,102.2,138,66.6,101,0.023,124,-2.41,210,102.4,203,104.8,227,2.87,76,15,2011,1.9,-0.1,1.8,1565.188149
128,Vermont,AE,23-9,3.36,102.4,187,99.1,83,64.5,219,0.062,34,-6.02,303,99.5,309,105.5,264,0.26,154,7,2011,0.1,3.5,3.6,1646.5185689999996
132,UC Santa Barbara,BW,18-14,3.15,103.7,164,100.5,112,64.1,241,0.002,174,0.29,149,104.1,126,103.9,175,6.12,33,15,2011,-1.3,2.3,0.9,1541.357878
134,Murray St.,OVC,23-9,3.01,105.0,131,102.0,131,62.4,301,0.04,81,-5.1,283,100.5,278,105.6,272,-2.62,224,6,2011,-0.5,4.5,4.0,1623.619322
137,Saint Peter's,MAAC,20-14,2.73,95.2,294,92.5,18,64.1,240,0.073,26,0.88,134,103.2,166,102.3,105,4.62,49,14,2011,-6.0,7.6,1.6,1542.530457
138,Milwaukee,Horz,19-14,2.69,104.8,135,102.1,137,65.4,167,0.11900000000000001,7,3.12,90,106.0,69,102.9,130,2.34,87,5,2011,1.8,-0.5,1.3,1530.1414619999996
150,UNC Asheville,BSth,20-14,1.91,101.9,197,100.0,102,67.4,66,-0.011000000000000001,207,-3.97,252,101.1,254,105.1,237,7.07,22,16,2011,2.6,-1.7,0.9,1528.098829
170,Boston University,AE,21-14,-0.5,103.4,169,103.9,186,62.6,291,0.045,65,-4.62,268,100.5,282,105.1,234,0.49,147,16,2011,-1.6,1.7,0.1,1515.78257
186,Florida Atlantic,SB,21-11,-1.94,102.9,181,104.8,209,62.4,303,0.134,4,-2.9,227,103.0,175,105.9,286,3.44,65,7,2011,-1.2,-0.2,-1.5,1593.366457
206,McNeese St.,Slnd,21-12,-3.88,105.5,122,109.4,288,65.1,180,0.083,21,-6.24,308,99.8,305,106.0,290,1.89,96,8,2011,2.4,-3.8,-1.4,1571.2248550000004
208,Hampton,MEAC,24-9,-4.21,94.4,304,98.7,81,66.1,129,0.10800000000000001,11,-10.7,337,97.4,331,108.1,338,-4.84,283,16,2011,-4.8,2.0,-2.9,1626.791235
215,Arkansas Little Rock,SB,19-17,-4.53,101.1,215,105.6,229,64.1,236,0.032,98,-3.85,251,102.2,211,106.1,293,0.85,129,16,2011,-1.6,-0.6,-2.2,1523.98049
227,UTSA,Slnd,20-14,-5.32,101.8,201,107.1,248,66.7,98,0.085,19,-5.71,294,100.3,286,106.1,292,-1.85,206,16,2011,-1.9,-2.9,-4.8,1528.917728
276,Texas Southern,SWAC,19-13,-10.37,93.2,311,103.5,175,64.8,197,0.13699999999999998,2,-9.84,331,96.0,339,105.9,284,8.93,14,8,2011,-6.0,0.1,-5.9,1504.016622
303,Alabama St.,SWAC,17-18,-13.19,92.8,318,106.0,235,63.6,256,0.032,100,-11.26,338,94.9,341,106.1,298,6.29,31,16,2011,-9.2,-0.3,-9.5,1434.429464
1,Kentucky,SEC,38-2,32.59,122.2,2,89.6,7,65.4,150,0.032,86,7.99,26,106.8,35,98.8,12,-1.06,189,1,2012,11.9,8.2,20.1,1808.419191
2,Ohio St.,B10,31-8,30.07,118.1,6,88.1,4,66.9,88,-0.05,287,10.1,4,108.9,3,98.8,13,-3.34,253,2,2012,10.8,9.5,20.3,1721.2695199999996
3,Michigan St.,B10,29-8,27.87,114.7,17,86.9,2,64.3,209,-0.027000000000000003,244,10.21,3,108.6,6,98.4,7,-1.07,190,1,2012,7.7,9.9,17.6,1696.8349690000002
4,Kansas,B12,32-7,26.91,114.0,23,87.1,3,66.3,111,0.027000000000000003,101,11.15,1,108.8,4,97.6,1,5.21,38,2,2012,8.2,7.8,16.1,1718.993077
5,Syracuse,BE,34-3,26.04,117.7,7,91.7,16,64.4,202,0.06,37,7.98,27,107.0,29,99.0,19,-2.11,216,1,2012,9.9,8.4,18.3,1791.2306649999996
6,North Carolina,ACC,32-6,25.44,116.1,12,90.7,11,70.9,10,0.016,134,7.41,30,107.2,27,99.8,40,1.89,100,1,2012,13.7,3.4,17.1,1748.54782
7,Missouri,B12,30-5,25.28,125.1,1,99.8,111,65.4,152,0.017,130,5.8,51,105.7,60,99.9,44,-6.18,315,2,2012,14.0,1.9,15.9,1729.659751
8,Wisconsin,B10,26-10,24.09,113.7,25,89.6,8,57.5,345,-0.018000000000000002,216,8.8,9,107.6,15,98.8,11,-3.88,262,4,2012,0.3,15.9,16.2,1667.306932
9,Indiana,B10,27-9,22.55,120.2,4,97.6,72,66.7,92,0.006999999999999999,155,8.41,15,107.4,19,99.0,16,-4.96,295,4,2012,12.1,3.2,15.2,1697.572376
10,Florida,SEC,26-11,22.47,120.4,3,98.0,80,64.2,210,-0.043,270,7.18,34,105.4,65,98.2,3,-1.67,204,7,2012,11.8,3.5,15.3,1656.411503
11,Wichita St.,MVC,27-6,22.36,116.1,11,93.8,26,65.7,134,-0.017,213,3.97,78,105.1,73,101.2,92,3.5,71,5,2012,8.9,5.3,14.1,1697.336195
12,Memphis,CUSA,26-9,21.9,114.2,22,92.3,17,67.5,60,-0.064,307,5.1,62,104.9,78,99.8,41,6.96,22,8,2012,9.5,5.1,14.6,1651.65908
13,Baylor,B12,30-8,21.29,116.0,13,94.7,34,65.6,138,0.059000000000000004,40,9.61,7,108.1,10,98.5,8,-2.7,236,3,2012,8.9,3.8,12.7,1729.428363
14,Saint Louis,A10,26-8,21.2,111.9,34,90.7,12,61.9,303,-0.055999999999999994,301,4.36,71,105.0,76,100.6,69,-2.55,231,9,2012,1.6,10.4,12.0,1675.204126
15,Georgetown,BE,24-9,21.05,111.2,45,90.1,9,62.1,294,-0.013999999999999999,202,8.32,18,107.3,22,99.0,18,-1.04,188,3,2012,3.8,9.7,13.5,1676.673236
16,Vanderbilt,SEC,25-11,20.9,115.6,14,94.7,35,64.7,188,-0.048,280,8.48,13,107.7,14,99.2,24,3.03,79,5,2012,8.2,4.4,12.6,1648.527376
17,Louisville,BE,30-10,20.67,106.2,112,85.5,1,66.1,115,0.031,91,10.06,5,108.6,5,98.6,9,0.11,149,4,2012,3.4,8.9,12.2,1704.304079
18,Marquette,BE,27-8,20.22,111.5,40,91.3,14,70.0,15,0.042,67,8.24,20,106.6,39,98.3,6,-0.95,187,3,2012,10.5,3.2,13.7,1703.2551010000002
19,Duke,ACC,27-7,19.7,117.7,8,98.0,79,66.4,108,0.057,45,8.18,22,107.3,25,99.1,23,7.68,17,2,2012,12.2,2.6,14.8,1744.060744
20,New Mexico,MWC,28-7,19.45,110.8,51,91.4,15,65.5,141,0.003,165,2.65,106,103.9,122,101.3,100,-4.16,273,5,2012,6.4,7.1,13.5,1664.323272
21,Gonzaga,WCC,26-7,18.39,113.1,30,94.7,33,64.8,183,-0.018000000000000002,218,2.08,116,104.9,81,102.8,158,1.05,126,7,2012,6.8,4.4,11.2,1693.014493
22,Michigan,B10,24-10,17.52,114.3,19,96.8,56,60.1,330,0.057999999999999996,42,10.65,2,109.0,2,98.3,4,-0.11,161,4,2012,2.6,8.1,10.7,1654.617788
23,Kansas St.,B12,22-11,17.52,109.8,59,92.3,18,66.5,97,-0.024,231,7.98,28,107.0,28,99.1,21,-3.29,251,8,2012,5.8,5.2,11.0,1625.669169
24,Florida St.,ACC,25-10,17.14,107.6,89,90.4,10,66.6,95,0.034,80,7.54,29,106.9,33,99.4,26,0.82,132,3,2012,4.5,7.4,11.9,1642.29472
25,Belmont,ASun,27-8,16.96,117.1,9,100.1,121,67.2,72,-0.017,214,-0.32,162,103.4,148,103.7,182,4.69,44,14,2012,10.6,0.9,11.5,1648.549723
26,Iowa St.,B12,23-11,16.69,113.9,24,97.2,66,65.8,128,-0.004,184,7.22,32,107.0,30,99.8,39,-4.08,271,8,2012,7.2,2.6,9.7,1631.319993
27,Alabama,SEC,21-12,16.69,106.1,115,89.5,6,61.9,302,-0.067,314,7.07,35,107.4,18,100.3,57,3.98,62,9,2012,-0.3,11.5,11.2,1630.992423
28,Creighton,MVC,29-6,16.47,119.2,5,102.7,166,65.9,125,0.079,20,3.79,84,104.9,79,101.1,87,-0.47,173,8,2012,11.3,-1.3,10.0,1701.9158530000002
29,California,P12,24-10,16.37,111.3,43,94.9,38,65.7,135,-0.006999999999999999,192,3.61,89,104.5,98,100.9,79,-1.83,210,12,2012,4.8,5.3,10.1,1659.814986
30,Purdue,B10,22-13,16.25,116.2,10,99.9,114,64.3,204,-0.003,179,8.81,8,108.4,9,99.6,32,-2.64,234,10,2012,7.5,4.1,11.6,1616.834847
31,Cincinnati,BE,26-11,16.03,109.5,62,93.5,22,62.9,272,0.023,115,6.9,39,105.7,61,98.8,10,-9.17,338,6,2012,3.2,6.8,10.0,1611.220083
32,Texas,B12,20-14,15.9,112.9,31,97.0,64,64.9,176,-0.065,311,8.45,14,107.8,11,99.4,27,-1.52,198,11,2012,6.3,4.0,10.3,1595.339345
33,Virginia,ACC,22-10,15.85,105.2,133,89.3,5,59.3,339,-0.024,237,4.05,76,105.0,75,101.0,82,-5.7,308,10,2012,-3.1,14.0,11.0,1653.730622
34,Saint Mary's,WCC,27-6,15.48,114.3,20,98.8,91,63.4,258,0.036000000000000004,78,0.17,150,104.1,116,103.9,192,-2.17,217,7,2012,6.4,4.5,10.9,1706.900877
35,Murray St.,OVC,31-2,15.34,108.5,80,93.2,20,65.0,172,0.031,92,-2.34,209,102.9,162,105.2,269,3.63,69,6,2012,2.6,4.9,7.5,1774.568541
36,Long Beach St.,BW,25-9,15.27,111.7,38,96.4,53,66.4,109,-0.047,274,1.25,127,104.0,118,102.8,156,14.84,2,12,2012,5.4,3.4,8.8,1642.562942
37,UNLV,MWC,26-9,14.97,109.2,67,94.2,27,68.7,31,0.006,158,3.54,91,104.5,100,100.9,80,-0.24,164,6,2012,8.9,1.2,10.1,1693.440019
38,Connecticut,BE,20-14,14.53,111.3,42,96.8,57,63.0,270,-0.032,255,8.25,19,107.3,21,99.1,22,-0.46,172,9,2012,4.3,5.2,9.5,1636.500193
39,Temple,A10,24-8,14.49,113.3,28,98.9,92,65.9,126,0.055,47,6.1,45,106.5,40,100.4,59,6.2,27,5,2012,8.3,1.5,9.8,1649.887114
40,Stanford,P12,26-11,14.36,106.7,100,92.4,19,67.2,74,-0.017,215,2.5,109,104.2,110,101.7,117,-4.51,283,3,2012,4.3,1.9,6.2,1644.1299279999996
41,Harvard,Ivy,26-5,14.34,108.8,72,94.4,29,60.7,325,0.027000000000000003,99,-0.87,175,101.4,245,102.2,134,0.65,138,12,2012,-0.6,8.7,8.1,1703.134564
42,Notre Dame,BE,22-12,14.22,110.9,50,96.7,55,60.2,329,0.032,87,6.94,37,106.4,42,99.4,28,-4.28,277,7,2012,1.4,6.2,7.6,1591.2070609999996
43,North Carolina St.,ACC,24-13,14.22,112.1,32,97.9,78,67.0,83,-0.004,183,6.22,43,105.9,53,99.7,36,1.18,119,11,2012,7.3,1.5,8.8,1634.836928
44,West Virginia,BE,19-14,13.56,111.4,41,97.9,77,64.0,226,-0.019,221,8.32,17,107.3,24,99.0,17,2.04,96,10,2012,7.3,2.6,9.9,1598.575109
45,Drexel,CAA,29-7,13.53,109.9,58,96.4,54,60.4,326,0.024,112,-2.05,200,100.7,276,102.7,152,-2.31,228,3,2012,-1.3,9.4,8.1,1657.486138
46,VCU,CAA,29-7,13.45,106.9,96,93.5,23,65.0,173,0.024,109,0.53,143,101.9,213,101.4,105,1.9,99,12,2012,2.7,5.5,8.2,1656.4139369999998
47,Miami FL,ACC,20-13,13.18,111.0,47,97.9,76,63.6,249,-0.038,260,5.45,56,105.3,69,99.9,43,1.06,125,2,2012,5.0,3.2,8.2,1589.665697
48,South Florida,BE,22-14,13.13,103.9,151,90.8,13,58.5,343,0.04,72,8.17,23,107.2,26,99.0,20,1.27,116,12,2012,-5.2,11.7,6.5,1571.166534
49,Middle Tennessee,SB,27-7,12.92,108.5,78,95.6,41,65.4,147,-0.003,180,-0.13,158,103.1,154,103.3,166,4.47,48,4,2012,2.9,4.6,7.5,1704.008404
50,BYU,WCC,26-9,12.79,106.3,111,93.5,21,72.6,5,0.02,123,1.31,125,105.1,72,103.8,188,0.38,145,14,2012,7.9,1.0,8.9,1669.058366
