Rk,Team,Conf,W-L,AdjEM,AdjO,AdjO2,AdjD,AdjD2,AdjT,AdjT2,Luck,Luck2,Strength of Schedule AdjEM,Strength of Schedule AdjEM2,Strength of Schedule OppO,Strength of Schedule OppO2,Strength of Schedule OppD,Strength of Schedule OppD2,NCSOS AdjEM,NCSOS AdjEM2,Seed,Year,BPI Off,BPI Def,BPI,Elo
5,Louisville,BE,31-6,26.06,111.2,49,85.2,2,66.9,103,0.068,25,9.57,27,108.6,17,99.0,37,-0.19,161,1,2009,7.8,9.6,17.4,1710.122257
6,Missouri,B12,31-7,24.81,116.6,13,91.8,17,70.9,15,0.031,87,7.96,44,106.4,57,98.4,20,-3.76,251,3,2009,12.9,2.9,15.8,1712.1868559999998
7,Oklahoma,B12,30-6,24.59,118.3,4,93.7,33,66.6,109,0.018000000000000002,120,9.49,29,108.3,25,98.9,31,0.46,143,2,2009,10.8,3.7,14.5,1757.967884
8,Gonzaga,WCC,28-6,24.51,117.5,8,93.0,24,67.1,97,0.003,156,4.63,78,105.1,89,100.5,74,10.61,13,4,2009,12.8,2.6,15.4,1700.2590920000002
9,Michigan St.,B10,31-7,24.37,114.3,26,89.9,6,66.5,112,0.091,11,12.33,2,109.4,5,97.1,2,5.81,42,2,2009,7.8,6.1,14.0,1715.1745079999996
10,Duke,ACC,30-7,24.31,117.5,7,93.2,28,66.3,127,0.053,47,10.23,15,108.5,19,98.3,17,3.18,84,2,2009,11.3,7.0,18.4,1726.7240989999998
11,West Virginia,BE,23-12,24.21,115.1,19,90.9,13,63.7,240,-0.067,315,10.95,8,108.9,12,98.0,10,2.11,107,6,2009,6.5,10.0,16.6,1640.995602
12,UCLA,P10,26-9,23.93,119.5,3,95.6,44,65.3,171,-0.03,251,8.42,39,107.6,39,99.1,40,-3.43,243,6,2009,10.4,3.3,13.7,1660.140624
13,Villanova,BE,30-8,23.89,114.4,24,90.5,10,68.3,62,0.021,116,9.99,22,108.9,14,98.9,32,-5.37,286,3,2009,10.5,5.3,15.9,1709.600214
14,Kansas,B12,27-8,23.83,114.5,23,90.7,11,67.2,93,-0.013000000000000001,202,8.83,37,107.9,32,99.1,39,1.55,117,3,2009,8.8,6.1,14.9,1681.65803
15,Arizona St.,P10,25-10,23.03,118.2,5,95.2,42,59.1,334,-0.018000000000000002,223,10.14,18,108.9,13,98.8,29,-2.04,207,6,2009,4.1,8.9,13.0,1665.967084
16,Syracuse,BE,28-10,22.21,117.0,10,94.8,39,69.7,29,0.024,106,11.46,4,108.4,21,97.0,1,0.77,133,3,2009,13.4,0.4,13.8,1695.901102
17,Washington,P10,26-9,22.09,113.1,34,91.0,14,72.2,10,-0.005,180,10.18,16,109.4,4,99.2,44,0.09,151,4,2009,11.8,-0.1,11.8,1660.106148
18,Purdue,B10,27-10,21.84,110.5,60,88.7,5,65.9,144,-0.012,199,8.94,36,107.2,46,98.3,16,-5.45,289,5,2009,5.6,8.0,13.5,1661.69332
19,Marquette,BE,25-10,21.02,117.1,9,96.1,52,67.5,78,-0.013999999999999999,203,8.22,41,107.8,34,99.5,49,-4.95,279,6,2009,10.6,1.3,11.8,1664.137417
20,Xavier,A10,27-8,20.24,111.0,53,90.8,12,65.8,149,-0.008,185,5.81,64,105.8,68,100.0,62,7.97,24,4,2009,6.1,7.3,13.5,1723.7781719999996
21,BYU,MWC,25-8,20.1,114.0,28,93.9,35,69.0,41,-0.046,285,4.57,79,105.4,76,100.9,82,0.39,145,8,2009,8.0,2.2,10.1,1678.079475
